trade_date,qid_date,open,high,low,close,vol,amount,pct_chg,group_len
2017/12/6,2017/12/5,4027.123,4031.753,3964.809,4015.821,1092862.05,14411495.42,-0.6027,34
2017/12/7,2017/12/6,4003.583,4017.947,3955.994,3971.057,902540.45,11965120.15,-1.1147,42
2017/12/8,2017/12/7,3962.829,4014.139,3955.44,4003.379,892828.61,12437123.03,0.8139,26
2017/12/11,2017/12/8,4006.878,4069.5,4005.269,4069.5,971489.46,14847658.85,1.6516,36
2017/12/12,2017/12/11,4068.505,4070.15,4015.455,4016.016,843387.18,12351518.32,-1.3143,60
2017/12/13,2017/12/12,4013.832,4052.688,4004.744,4050.093,775461.31,11500638.34,0.8485,28
2017/12/14,2017/12/13,4050.903,4057.625,4013.855,4026.152,807688.62,11508694.49,-0.5911,26
2017/12/15,2017/12/14,4018.731,4020.267,3974.928,3980.856,890443.89,11847414.42,-1.125,12
2017/12/18,2017/12/15,3983.297,4008.069,3967.934,3985.291,778533.75,11172434.99,0.1114,31
2017/12/19,2017/12/18,3985.823,4035.63,3985.823,4035.329,775289.85,11599820.43,1.2556,41
2017/12/20,2017/12/19,4036.019,4044.849,4015.629,4030.49,906045.03,12681287.81,-0.1199,31
2017/12/21,2017/12/20,4023.076,4080.781,4014.653,4067.849,968360.89,13781952.09,0.9269,29
2017/12/22,2017/12/21,4064.913,4076.803,4048.491,4054.598,734736.84,10442649.6,-0.3257,43
2017/12/25,2017/12/22,4057.417,4086.934,4026.45,4041.54,919269.62,12993883.92,-0.3221,42
2017/12/26,2017/12/25,4040.617,4056.855,4015.3,4053.622,911187.9,11972510.06,0.2989,56
2017/12/27,2017/12/26,4045.279,4047.737,3986.739,3991.208,1051535.77,14051690.71,-1.5397,29
2017/12/28,2017/12/27,3992.997,4036.698,3980.236,4018.897,1185428.86,15363669.58,0.6937,29
2017/12/29,2017/12/28,4022.883,4043.14,4012.875,4030.855,904866.83,12125703.85,0.2975,59
2018/1/2,2017/12/29,4045.209,4087.779,4045.209,4087.401,1469354.35,17840203.29,1.4028,0
2018/1/3,2018/1/2,4091.461,4140.054,4088.73,4111.393,1518522.18,20572688.96,0.587,37
2018/1/4,2018/1/3,4114.121,4137.642,4105.886,4128.812,1345437.94,17452355.61,0.4237,45
2018/1/5,2018/1/4,4133.344,4151.282,4123.282,4138.751,1490098.72,18520629.32,0.2407,50
2018/1/8,2018/1/5,4140.855,4166.318,4127.308,4160.16,1738776.66,22640387.29,0.5173,73
2018/1/9,2018/1/8,4157.539,4191.284,4153.502,4189.298,1390342.94,18197507.98,0.7004,55
2018/1/10,2018/1/9,4187.204,4211.055,4175.136,4207.813,1511216.66,19485025.39,0.442,40
2018/1/11,2018/1/10,4197.114,4211.799,4181.957,4205.586,1215785.39,17040730.59,-0.0529,51
2018/1/12,2018/1/11,4205.144,4227.392,4199.025,4225.001,1113547.94,15760621.06,0.4616,50
2018/1/15,2018/1/12,4229.836,4262.931,4216.359,4225.239,1709078.97,23498658.61,0.0056,84
2018/1/16,2018/1/15,4215.625,4260.212,4213.128,4258.473,1614949.63,22827122.48,0.7866,54
2018/1/17,2018/1/16,4261.783,4283.345,4230.537,4248.116,2143110.32,28455435.98,-0.2432,47
2018/1/18,2018/1/17,4259.375,4292.637,4246.684,4271.417,1720328.46,22528968.89,0.5485,42
2018/1/19,2018/1/18,4281.937,4316.571,4269.617,4285.395,2094905.7,25855472.54,0.3272,56
2018/1/22,2018/1/19,4276.481,4338.483,4275.898,4336.597,1746431.95,23396022.33,1.1948,63
2018/1/23,2018/1/22,4346.889,4383.572,4346.793,4382.613,2018675.85,25711335.99,1.0611,49
2018/1/24,2018/1/23,4389.455,4397.82,4349.087,4389.885,2198188.89,28447080.95,0.1659,42
2018/1/25,2018/1/24,4381.977,4392.196,4336.239,4365.079,1953749.5,25030809.19,-0.5651,59
2018/1/26,2018/1/25,4352.221,4403.338,4351.487,4381.3,1772272.37,22333130.91,0.3716,64
2018/1/29,2018/1/26,4387.058,4395.905,4287.112,4302.018,1911003.54,25617632.38,-1.8096,85
2018/1/30,2018/1/29,4286.683,4308.512,4251.571,4256.102,1390347.3,18665056.62,-1.0673,74
2018/1/31,2018/1/30,4234.11,4287.858,4232.773,4275.899,1452101.64,19440179.8,0.4651,98
2018/2/1,2018/1/31,4276.343,4287.389,4214.291,4245.898,1900029.34,23923029.89,-0.7016,111
2018/2/2,2018/2/1,4213.939,4271.765,4181.779,4271.233,1460668.27,19116986.73,0.5967,76
2018/2/5,2018/2/2,4204.458,4274.146,4200.141,4274.146,1613477.99,21736014.45,0.0682,84
2018/2/6,2018/2/5,4182.326,4211.523,4131.556,4148.886,2149104.5,27941508.32,-2.9306,54
2018/2/7,2018/2/6,4205.737,4212.568,4048.423,4050.497,2031274.93,26150702.74,-2.3715,42
2018/2/8,2018/2/7,4022.88,4071.665,3974.678,4012.047,1592699.85,19906177.2,-0.9493,39
2018/2/9,2018/2/8,3896.169,3911.292,3759.146,3840.653,2063498.28,24677482.84,-4.272,34
2018/2/12,2018/2/9,3846.267,3907.843,3828.07,3890.105,1161826.37,14985804.36,1.2876,46
2018/2/13,2018/2/12,3925.596,3986.981,3925.596,3935.632,1125658.85,14447935.44,1.1703,46
2018/2/14,2018/2/13,3945.094,3971.404,3923.127,3966.961,710813.38,9311020.14,0.796,43
2018/2/22,2018/2/14,4020.973,4058.788,4009.92,4052.733,1058115.71,13833436.17,2.1622,0
2018/2/23,2018/2/22,4061.755,4085.201,4035.232,4071.089,994587.46,12819583.52,0.4529,18
2018/2/26,2018/2/23,4093.399,4128.744,4048.983,4118.419,1378810.01,17901309.36,1.1626,30
2018/2/27,2018/2/26,4120.871,4120.871,4051.805,4058.981,1259344.7,16968490.1,-1.4432,42
2018/2/28,2018/2/27,4016.791,4051.712,3991.706,4023.642,1093435.93,15249390.93,-0.8706,73
2018/3/1,2018/2/28,3994.869,4061.033,3986.895,4049.086,1101998.52,14600345.67,0.6324,148
2018/3/2,2018/3/1,4014.951,4044.418,4006.944,4016.461,961650,13093118.12,-0.8057,105
2018/3/5,2018/3/2,4021.658,4042.835,3995.872,4018.097,879525.48,11819785.95,0.0407,82
