,qid_date,stock_code,real_return,close,pclose,volume,prediction
57260,20191206,796,0.016189,8.16,8.03,9056521,0.63407475
57261,20191206,2683,0.00918,15.39,15.25,16596722,0.5424036
57262,20191206,603881,0.008861,38.71,38.37,6150009,0.50454164
57263,20191206,603505,0.007932,19.06,18.91,5227710,0.45124063
57264,20191206,600882,-0.002941,13.56,13.6,1717586,0.6170653
57265,20191206,2838,-0.005576,10.7,10.76,1180220,0.5484505
57266,20191206,603496,-0.01629,21.74,22.1,9194838,0.59783375
57267,20191206,625,-0.018116,8.13,8.28,21299933,0.47312933
57268,20191206,603160,0.075612,213.95,198.91,5654328,0.36743024
57269,20191206,2156,0.070045,14.36,13.42,91528597,0.67284054
57270,20191206,2157,0.049553,15.25,14.53,105421358,0.5675055
57271,20191206,600782,0.029046,4.96,4.82,48959698,0.5481284
57272,20191206,600887,0.019835,30.85,30.25,44087650,0.339426
57273,20191206,600176,0.017112,9.51,9.35,40648513,0.3974124
57274,20191206,601636,0.013699,4.44,4.38,35585931,0.3743878
57275,20191206,2396,0.012871,36.2,35.74,24481924,0.36105207
57276,20191206,2957,0.008012,32.71,32.45,5649014,0.57170475
57277,20191206,600271,0.003321,21.15,21.08,7834708,0.45196927
57278,20191206,600104,-0.003077,22.68,22.75,17225132,0.3187101
57279,20191206,2594,-0.00755,43.38,43.71,5825985,0.3241984
57280,20191206,603879,-0.017544,11.76,11.97,4451420,0.64681727
57281,20191209,2449,0.069364,12.95,12.11,48117780,0.55516326
57282,20191209,603501,0.059235,154.5,145.86,5950026,0.34005496
57283,20191209,603313,0.034848,20.49,19.8,8258188,0.52112764
57284,20191209,600570,0.034325,76.84,74.29,18020804,0.35706437
57285,20191209,600409,0.028319,5.81,5.65,23894475,0.57654667
57286,20191209,603662,0.022406,47.0,45.97,3656276,0.79156375
57287,20191209,2695,0.017912,16.48,16.19,5863179,0.5506703
57288,20191209,601155,0.010929,37.0,36.6,13446914,0.51334214
57289,20191209,2254,0.010387,10.7,10.59,11218021,0.59702116
57290,20191209,977,0.010361,32.18,31.85,59105661,0.35029116
57291,20191209,2216,0.010161,11.93,11.81,3117841,0.7111364
57292,20191209,2938,0.007842,50.12,49.73,12520876,0.31252572
57293,20191209,2014,0.006881,8.78,8.72,3557062,0.43618622
57294,20191209,603722,0.006692,24.07,23.91,941379,0.60069996
57295,20191209,601615,0.006499,12.39,12.31,8888063,0.31834176
57296,20191209,601615,0.006499,12.39,12.31,8888063,0.31310466
57297,20191209,601615,0.006499,12.39,12.31,8888063,0.3262641
57298,20191209,2756,0.004266,16.48,16.41,3840624,0.5657626
57299,20191209,596,0.003024,122.72,122.35,2893456,0.42992607
57300,20191209,8,0.002725,3.68,3.67,39474705,0.66445893
57301,20191209,2594,0.001153,43.43,43.38,4217317,0.31259298
57302,20191209,651,0.000161,62.16,62.15,23523685,0.46965337
57303,20191209,507,0.0,6.18,6.18,9073817,0.52119416
57304,20191209,601238,-0.000875,11.42,11.43,8994159,0.348924
57305,20191209,601238,-0.000875,11.42,11.43,8994159,0.3244965
57306,20191209,69,-0.001408,7.09,7.1,24986871,0.4250803
57307,20191209,600606,-0.001495,6.68,6.69,20735053,0.37823686
57308,20191209,2685,-0.002845,7.01,7.03,9263960,0.72821635
57309,20191209,600872,-0.00306,39.1,39.22,8785110,0.32298726
57310,20191209,2352,-0.00437,36.45,36.61,10328383,0.32299882
57311,20191209,603916,-0.00598,14.96,15.05,2188500,0.49532214
57312,20191209,603699,-0.006545,13.66,13.75,2290718,0.554525
57313,20191209,899,-0.008368,4.74,4.78,1185280,0.6428228
57314,20191209,2,-0.009585,27.9,28.17,68546929,0.32632482
57315,20191210,625,0.100484,9.09,8.26,77619900,0.49859267
57316,20191210,656,0.037975,7.38,7.11,52274539,0.50247335
57317,20191210,601615,0.02502,12.7,12.39,17142894,0.32957232
57318,20191210,601966,0.024578,21.26,20.75,8998664,0.35974005
57319,20191210,601633,0.02381,9.03,8.82,26063746,0.47152245
57320,20191210,601633,0.02381,9.03,8.82,26063746,0.46245882
57321,20191210,601633,0.02381,9.03,8.82,26063746,0.45630988
57322,20191210,601633,0.02381,9.03,8.82,26063746,0.43437302
57323,20191210,601633,0.02381,9.03,8.82,26063746,0.4332777
57324,20191210,601238,0.022767,11.68,11.42,18346612,0.3266464
57325,20191210,601238,0.022767,11.68,11.42,18346612,0.33016384
57326,20191210,2918,0.009384,17.21,17.05,3260424,0.51616377
57327,20191210,603955,0.009383,15.06,14.92,616533,0.774307
57328,20191210,603160,0.007387,218.19,216.59,3552830,0.36601058
57329,20191210,601636,0.004535,4.43,4.41,29666605,0.31700033
57330,20191210,600606,0.002994,6.7,6.68,19156439,0.39963105
57331,20191210,2747,-0.003049,9.81,9.84,5207739,0.3387849
57332,20191210,600567,-0.009063,3.28,3.31,56994381,0.36425522
57333,20191210,2123,-0.009501,20.85,21.05,16194184,0.35033706
57334,20191210,8,-0.01087,3.64,3.68,23467923,0.50518423
57335,20191210,2254,-0.017757,10.51,10.7,7381631,0.5296422
57336,20191210,2317,-0.018943,9.84,10.03,4138500,0.51457024
57337,20191210,2273,-0.032501,16.67,17.23,117772426,0.6134494
57338,20191210,2065,-0.034483,10.08,10.44,60225259,0.53934807
57339,20191211,601966,0.020226,21.69,21.26,11541161,0.32869002
57340,20191211,601966,0.020226,21.69,21.26,11541161,0.36654505
57341,20191211,625,0.014301,9.22,9.09,80047629,0.45855898
57342,20191211,625,0.014301,9.22,9.09,80047629,0.49284774
57343,20191211,625,0.014301,9.22,9.09,80047629,0.45898402
57344,20191211,625,0.014301,9.22,9.09,80047629,0.5207193
57345,20191211,625,0.014301,9.22,9.09,80047629,0.49458313
57346,20191211,603990,0.013841,32.23,31.79,1423053,0.54945177
57347,20191211,600012,0.012281,5.77,5.7,3818300,0.5556023
57348,20191211,600556,0.005025,10.0,9.95,5394500,0.7034797
57349,20191211,651,0.001303,61.48,61.4,20259366,0.48852205
57350,20191211,582,0.001203,8.32,8.31,1268468,0.6416129
57351,20191211,600362,-0.000658,15.19,15.2,25061281,0.44947368
57352,20191211,2191,-0.002636,11.35,11.38,36803200,0.3466042
57353,20191211,2683,-0.005569,16.07,16.16,22716402,0.54557955
57354,20191211,601633,-0.017719,8.87,9.03,12590618,0.43618542
57355,20191211,2930,-0.019074,14.4,14.68,4203667,0.52795637
57356,20191211,2405,-0.019382,16.19,16.51,60918895,0.29575494
57357,20191211,2570,-0.021898,5.36,5.48,6299100,0.596965
57358,20191212,600114,0.099857,7.71,7.01,31104959,0.4986893
57359,20191212,600486,0.078569,61.5,57.02,7585699,0.35814363
57360,20191212,2123,0.060853,22.14,20.87,39422820,0.3471328
57361,20191212,2683,0.044182,16.78,16.07,22565780,0.55114996
57362,20191212,2847,0.031065,36.51,35.41,1811300,0.50108135
57363,20191212,2756,0.025998,16.97,16.54,5540914,0.56756884
57364,20191212,2787,0.023474,6.54,6.39,2033940,0.70019233
57365,20191212,601615,0.016614,12.85,12.64,14732667,0.32631058
57366,20191212,2538,0.013304,4.57,4.51,5004700,0.5191445
57367,20191212,2180,0.012995,34.3,33.86,22026055,0.5509865
57368,20191212,2049,0.011881,50.25,49.66,21999243,0.55591965
57369,20191212,2555,0.010638,23.75,23.5,17225014,0.36995816
57370,20191212,601808,0.010411,17.47,17.29,10063847,0.3398297
57371,20191212,600372,0.009658,13.59,13.46,6466568,0.4696992
57372,20191212,2918,0.009529,16.95,16.79,2690924,0.538485
57373,20191212,2439,0.008137,33.45,33.18,7456740,0.290149
57374,20191212,600031,0.007687,15.73,15.61,101093148,0.33617064
57375,20191212,600031,0.007687,15.73,15.61,101093148,0.32172498
57376,20191212,600031,0.007687,15.73,15.61,101093148,0.31950316
57377,20191212,600031,0.007687,15.73,15.61,101093148,0.3336011
57378,20191212,600400,0.006173,3.26,3.24,5119447,0.449049
57379,20191212,601238,0.001711,11.71,11.69,11516318,0.34345555
57380,20191212,600867,0.0,12.65,12.65,40106616,0.38531187
57381,20191212,600867,0.0,12.65,12.65,40106616,0.40403396
57382,20191212,625,-0.003254,9.19,9.22,53190717,0.42390034
57383,20191212,625,-0.003254,9.19,9.22,53190717,0.43289018
57384,20191213,601231,0.100274,20.08,18.25,6329000,0.5500681
57385,20191213,601231,0.100274,20.08,18.25,6329000,0.40753847
57386,20191213,601231,0.100274,20.08,18.25,6329000,0.46728772
57387,20191213,603730,0.061827,26.62,25.07,3162358,0.59724164
57388,20191213,2587,0.04194,7.95,7.63,43542947,0.62049454
57389,20191213,951,0.031776,22.08,21.4,6422253,0.531725
57390,20191213,2111,0.027406,15.37,14.96,9347818,0.45277292
57391,20191213,603228,0.026758,46.43,45.22,4184002,0.4266909
57392,20191213,600690,0.013506,18.76,18.51,87680200,0.3890766
57393,20191213,600570,0.007064,79.84,79.28,20438166,0.28953534
57394,20191213,2946,0.005547,12.69,12.62,2306117,0.5859165
57395,20191213,600362,-0.000654,15.27,15.28,19908313,0.46249932
57396,20191213,2050,-0.00186,16.1,16.13,34475121,0.3118296
57397,20191213,2050,-0.00186,16.1,16.13,34475121,0.33581135
57398,20191213,601899,-0.002525,3.95,3.96,165928676,0.33312124
57399,20191213,2677,-0.002948,13.53,13.57,6795250,0.35558587
57400,20191213,2466,-0.003247,27.63,27.72,32416444,0.4784471
57401,20191213,600031,-0.009536,15.58,15.73,86121019,0.31256717
57402,20191213,600486,-0.010732,60.84,61.5,5247139,0.3281776
57403,20191213,2456,0.1,16.83,15.3,262921445,0.7109658
57404,20191213,2212,0.099778,19.84,18.04,46914888,0.67886525
57405,20191213,600410,0.037106,11.18,10.78,66052421,0.6040914
57406,20191213,600206,0.016034,12.04,11.85,94291259,0.7258285
57407,20191213,601966,0.007175,22.46,22.3,9461978,0.32577944
57408,20191213,2918,0.0059,17.05,16.95,2637695,0.5621654
57409,20191213,2123,-0.001807,22.1,22.14,29493838,0.332637
57410,20191216,601231,0.1001,22.09,20.08,9124304,0.34782502
57411,20191216,2460,0.099932,32.14,29.22,72082776,0.5252685
57412,20191216,818,0.095238,13.8,12.6,50823229,0.48802495
57413,20191216,603613,0.089213,71.79,65.91,3601617,0.6709362
57414,20191216,2395,0.052632,28.0,26.6,2776033,0.7433848
57415,20191216,603859,0.043651,26.3,25.2,3625549,0.5873944
57416,20191216,2212,0.041835,20.67,19.84,44619470,0.49075657
57417,20191216,2212,0.041835,20.67,19.84,44619470,0.6442929
57418,20191216,651,0.016006,64.11,63.1,39262639,0.48663425
57419,20191216,600195,0.014851,12.3,12.12,24670826,0.39270103
57420,20191216,671,0.011509,7.91,7.82,59592197,0.32341716
57421,20191216,600305,0.008043,15.04,14.92,23449799,0.40603685
57422,20191216,603916,0.000651,15.37,15.36,4558100,0.55371624
57423,20191216,2127,0.0,11.18,11.18,15629027,0.28321248
57424,20191216,2127,0.0,11.18,11.18,15629027,0.28215906
57425,20191216,2074,-0.001493,13.38,13.4,41227043,0.41159824
57426,20191216,600309,-0.002806,53.3,53.45,11535783,0.39775777
57427,20191216,425,-0.003968,5.02,5.04,118044269,0.32572007
57428,20191216,601888,-0.005922,85.61,86.12,16869245,0.30792105
57429,20191216,2683,-0.008168,17.0,17.14,17388965,0.4157226
57430,20191216,600201,-0.008691,18.25,18.41,23178054,0.3772195
57431,20191216,977,-0.012048,32.8,33.2,49191525,0.33832502
57432,20191216,2648,-0.01517,16.23,16.48,19485814,0.3835638
57433,20191216,603808,-0.023239,13.87,14.2,19665632,0.34722066
57434,20191216,603808,-0.023239,13.87,14.2,19665632,0.31688693
57435,20191216,1914,-0.035306,18.58,19.26,15681861,0.77254134
57436,20191217,818,0.048551,14.47,13.8,67052227,0.608496
57437,20191217,1914,0.038751,19.3,18.58,11035461,0.6265598
57438,20191217,603711,0.036149,25.51,24.62,5734716,0.37047336
57439,20191217,807,0.02004,5.09,4.99,71747564,0.5701849
57440,20191217,2810,0.017241,18.88,18.56,5038928,0.47880143
57441,20191217,603986,0.011889,205.97,203.55,6167988,0.3901499
57442,20191217,2390,0.011111,5.46,5.4,22089378,0.66863734
57443,20191217,2439,0.009666,34.47,34.14,7869596,0.31313425
57444,20191217,603808,0.00721,13.97,13.87,10598680,0.3415168
57445,20191217,603808,0.00721,13.97,13.87,10598680,0.32601637
57446,20191217,2912,0.003937,127.5,127.0,3222420,0.28559563
57447,20191217,2912,0.003937,127.5,127.0,3222420,0.32795894
57448,20191217,2912,0.003937,127.5,127.0,3222420,0.29019344
57449,20191217,796,0.002457,8.16,8.14,11509400,0.56941783
57450,20191217,603035,-0.000887,11.27,11.28,13332429,0.7100837
57451,20191217,2216,-0.002302,13.0,13.03,7607394,0.6174718
57452,20191217,582,-0.002317,8.61,8.63,2071540,0.50100255
57453,20191217,601933,-0.010417,7.6,7.68,49869860,0.29983613
57454,20191217,603385,-0.010526,11.28,11.4,4466047,0.60221744
57455,20191217,603501,-0.015298,149.33,151.65,4107335,0.35449493
57456,20191217,603788,-0.016656,15.35,15.61,1870960,0.5672611
57457,20191217,2463,-0.019976,24.04,24.53,85837043,0.31047308
57458,20191217,2463,-0.019976,24.04,24.53,85837043,0.3141282
57459,20191217,2463,-0.019976,24.04,24.53,85837043,0.3133434
57460,20191218,600732,0.044872,8.15,7.8,9194937,0.6318425
57461,20191218,2912,0.023843,130.54,127.5,3705436,0.30452037
57462,20191218,2063,0.021589,11.83,11.58,43728558,0.54010725
57463,20191218,603808,0.017895,14.22,13.97,11966512,0.35776788
57464,20191218,2081,0.013253,8.41,8.3,27994250,0.35441613
57465,20191218,600875,0.011828,9.41,9.3,11444272,0.7092271
57466,20191218,63,0.007007,34.49,34.25,88462027,0.39047542
57467,20191218,625,0.006369,9.48,9.42,38027305,0.4273258
57468,20191218,600143,0.004167,7.23,7.2,29480486,0.57331795
57469,20191218,601658,0.003497,5.74,5.72,141028076,0.7242292
57470,20191218,600426,0.003344,18.0,17.94,11348946,0.3670557
57471,20191218,600859,0.002847,14.09,14.05,7218581,0.6026029
57472,20191218,600859,0.002847,14.09,14.05,7218581,0.48140186
57473,20191218,961,0.002094,9.57,9.55,21673330,0.36453632
57474,20191218,2508,0.001563,32.04,31.99,5489799,0.3656114
57475,20191218,2024,0.000986,10.15,10.14,32759457,0.30691153
57476,20191218,333,-0.002062,58.08,58.2,13476377,0.37595055
57477,20191218,858,-0.008248,129.86,130.94,13036263,0.3019119
57478,20191218,600298,-0.010909,29.92,30.25,4057513,0.3793628
57479,20191218,603501,-0.016072,146.93,149.33,5663065,0.32879978
57480,20191218,759,-0.016107,7.33,7.45,9229489,0.47797626
57481,20191218,601633,-0.01989,8.87,9.05,20590608,0.4259318
57482,20191218,600745,-0.029738,97.88,100.88,19751623,0.36800963
57483,20191218,600745,-0.029738,97.88,100.88,19751623,0.3359497
57484,20191218,2456,-0.039886,16.85,17.55,201983924,0.46661177
57485,20191218,603160,-0.041094,206.51,215.36,4436451,0.33832157
57486,20191219,603916,0.04381,16.44,15.75,9499838,0.7411111
57487,20191219,2624,0.019356,42.13,41.33,13674970,0.32767513
57488,20191219,603218,0.004487,20.15,20.06,3231172,0.39086896
57489,20191219,601166,0.003516,19.98,19.91,50582959,0.5121736
57490,20191219,759,0.002729,7.35,7.33,7406006,0.6973889
57491,20191219,949,0.002326,4.31,4.3,20557479,0.74336195
57492,20191219,600276,0.000471,84.9,84.86,11534201,0.33544436
57493,20191219,601939,-0.001377,7.25,7.26,49204400,0.5111596
57494,20191219,725,-0.002132,4.68,4.69,941935809,0.3576727
57495,20191219,601933,-0.003958,7.55,7.58,50477449,0.28541407
57496,20191219,600498,-0.004845,26.7,26.83,10027571,0.41836476
57497,20191219,600196,-0.004911,26.34,26.47,14462257,0.44663665
57498,20191219,858,-0.005852,129.1,129.86,13045860,0.33402404
57499,20191219,601898,-0.00611,4.88,4.91,11345133,0.5566766
57500,20191219,600760,-0.008304,31.05,31.31,7857229,0.357039
57501,20191219,544,-0.011058,6.26,6.33,5737807,0.6432078
57502,20191219,600933,-0.013027,12.88,13.05,1545876,0.40796396
57503,20191219,601186,-0.013739,10.05,10.19,49372191,0.33308783
57504,20191219,600570,-0.01557,78.4,79.64,11730560,0.28973204
57505,20191219,2001,-0.015653,22.01,22.36,17919601,0.3594423
57506,20191219,600025,-0.016166,4.26,4.33,39678069,0.59826875
57507,20191219,2555,-0.016173,25.55,25.97,20714696,0.3268898
57508,20191219,2602,-0.021349,11.46,11.71,63611966,0.53641874
57509,20191219,600745,-0.023192,95.61,97.88,13234875,0.32850936
57510,20191219,2268,-0.025473,26.78,27.48,13549784,0.5091399
57511,20191219,2153,-0.029512,37.16,38.29,3574827,0.32511735
57512,20191219,2465,-0.034081,10.77,11.15,42368151,0.41161034
57513,20191219,601231,-0.095111,20.36,22.5,104776359,0.3529335
57514,20191220,600299,0.045671,10.99,10.51,18316751,0.47601196
57515,20191220,600063,0.012755,3.97,3.92,44427260,0.6889971
57516,20191220,603300,0.009873,7.16,7.09,27158478,0.77407783
57517,20191220,656,-0.001318,7.58,7.59,32738115,0.63485456
57518,20191220,603507,-0.001831,21.81,21.85,439784,0.51729333
57519,20191220,2876,-0.004434,49.4,49.62,4208671,0.62872
57520,20191220,858,-0.007436,128.14,129.1,15676477,0.3283405
57521,20191220,600862,-0.011561,10.26,10.38,7920641,0.5329534
57522,20191220,600461,-0.011785,5.87,5.94,2345440,0.47376359
57523,20191220,66,-0.016362,15.63,15.89,61318256,0.4063053
57524,20191220,2,-0.021149,31.01,31.68,63883565,0.27424967
57525,20191220,2,-0.021149,31.01,31.68,63883565,0.27665904
57526,20191220,625,-0.022587,9.52,9.74,34319123,0.4253175
57527,20191220,625,-0.022587,9.52,9.74,34319123,0.4378084
57528,20191220,725,-0.025641,4.56,4.68,1186509722,0.40164146
57529,20191220,2607,-0.027335,17.08,17.56,11635013,0.28781682
57530,20191220,600875,-0.033155,9.04,9.35,10015572,0.4270485
57531,20191220,2212,-0.041441,19.43,20.27,24990535,0.5545001
57532,20191220,603377,-0.052544,17.13,18.08,7721156,0.636066
57533,20191220,2463,-0.057427,21.83,23.16,73539205,0.3043586
57534,20191220,2938,-0.089289,43.45,47.71,18257460,0.3293052
57535,20191220,603786,0.059908,52.9,49.91,3392523,0.8394481
57536,20191220,2601,0.038157,14.42,13.89,33262790,0.3915914
57537,20191220,2683,0.037835,17.83,17.18,18560887,0.53539765
57538,20191220,2568,0.025741,26.3,25.64,6797222,0.62295127
57539,20191220,2831,0.010706,25.49,25.22,3216301,0.63912416
57540,20191220,625,-0.022587,9.52,9.74,34319123,0.37593338
57541,20191220,600606,-0.024638,6.73,6.9,29298847,0.32828215
57542,20191220,600536,-0.029619,71.75,73.94,16736420,0.44499394
57543,20191223,600362,0.089262,16.23,14.9,54109783,0.5355204
57544,20191223,878,0.082694,12.7,11.73,43445669,0.5439172
57545,20191223,603986,0.07175,195.38,182.3,8586321,0.34090158
57546,20191223,2460,0.062248,34.3,32.29,72675662,0.4948907
57547,20191223,600273,0.056751,10.8,10.22,34590569,0.5623755
57548,20191223,818,0.037244,16.71,16.11,48144374,0.46409538
57549,20191223,2353,0.027586,35.76,34.8,6964139,0.36129093
57550,20191223,601933,0.027237,7.92,7.71,94528313,0.3645389
57551,20191223,600760,0.026205,31.72,30.91,9870620,0.37536508
57552,20191223,2064,0.025641,6.0,5.85,6754929,0.56307304
57553,20191223,600690,0.023734,19.41,18.96,47078200,0.4095213
57554,20191223,977,0.020819,29.91,29.3,31247410,0.33334088
57555,20191223,600031,0.015296,15.93,15.69,54001806,0.35106078
57556,20191223,600031,0.015296,15.93,15.69,54001806,0.30635664
57557,20191223,2236,0.014902,19.07,18.79,31448489,0.3738157
57558,20191223,66,0.012156,15.82,15.63,40968802,0.35136276
57559,20191223,799,0.010499,35.61,35.24,34262490,0.5947997
57560,20191223,799,0.010499,35.61,35.24,34262490,0.5234395
57561,20191223,600570,0.008796,76.84,76.17,9387876,0.2992245
57562,20191223,852,0.008117,6.21,6.16,4784710,0.48377168
57563,20191223,601865,0.007605,10.6,10.52,10443794,0.41130623
57564,20191223,2036,0.006351,17.43,17.32,47062998,0.5369965
57565,20191223,2967,0.004537,31.0,30.86,14576335,0.7689163
57566,20191223,858,0.00437,128.7,128.14,8308120,0.45879546
57567,20191223,858,0.00437,128.7,128.14,8308120,0.49553278
57568,20191223,858,0.00437,128.7,128.14,8308120,0.48272532
