qid_date,stock_code,Unnamed: 0,real_return,prediction,close,pclose,new_close
20171206,300128,20491,0.006261,2.4156454,11.25,11.18,11.25
20171206,300232,20492,-0.005014,-2.4682803,13.89,13.96,13.89
20171206,300498,20493,-0.006307,-0.89303863,25.21,25.37,25.21
20171206,300078,20494,-0.013863,-0.6172617,10.67,10.82,10.67
20171206,300433,20495,-0.021527,-0.16265596,34.09,34.84,34.09
20171206,300059,20496,-0.03244,-1.7984399,13.72,14.18,13.72
20171207,300170,20497,0.023496,2.5124762,10.89,10.64,10.89
20171207,300121,20498,0.023495,0.60392845,13.94,13.62,13.94
20171207,300017,20499,-0.010827,-2.5495207,10.05,10.16,10.05
20171207,300142,20500,-0.036562,-0.7123252,20.29,21.06,20.29
20171208,300188,20501,0.052658,1.5305281,21.19,20.13,21.19
20171208,300241,20502,0.035034,0.8286268,16.84,16.27,16.84
20171208,300323,20503,0.031601,0.20863098,19.26,18.67,19.26
20171208,300065,20504,0.01008,-0.38152513,19.04,18.85,19.04
20171208,300099,20505,0.009804,-1.6047157,6.18,6.12,6.18
20171208,300681,20506,0.008308,-1.5432698,53.4,52.96,53.4
20171211,300054,20507,0.043195,2.15344,12.8,12.27,12.8
20171211,300418,20508,0.007424,0.98241,23.07,22.9,23.07
20171211,300482,20509,0.006739,2.0403078,71.71,71.23,71.71
20171211,300595,20510,0.005279,2.2616556,51.42,51.15,51.42
20171211,300128,20511,0.0,-0.2832706,11.76,11.76,11.76
20171211,300271,20512,-0.003817,-0.4819316,15.66,15.72,15.66
20171211,300691,20513,-0.013461,-0.74581516,76.22,77.26,76.22
20171211,300470,20514,-0.020994,-0.32984358,36.84,37.63,36.84
20171211,300200,20515,-0.023233,-0.5541736,10.09,10.33,10.09
20171211,300692,20516,-0.026205,-0.4142012,39.39,40.45,39.39
20171211,300426,20517,-0.027555,0.29021814,19.41,19.96,19.41
20171211,300656,20518,-0.029532,-0.5252508,56.85,58.58,56.85
20171211,300229,20519,-0.034835,-1.6212865,16.07,16.65,16.07
20171211,300687,20520,-0.040953,-0.48438224,45.9,47.86,45.9
20171211,300145,20521,-0.043097,0.17071037,13.1,13.69,13.1
20171211,300145,20522,-0.043097,-0.20270884,13.1,13.69,13.1
20171211,300145,20523,-0.043097,-0.42532018,13.1,13.69,13.1
20171212,300070,20524,0.016817,2.4103143,16.93,16.65,16.93
20171212,300247,20525,0.014414,1.9664274,5.63,5.55,5.63
20171212,300054,20526,0.007813,0.5983813,12.9,12.8,12.9
20171212,300097,20527,-0.003115,-0.15864328,32.0,32.1,32.0
20171212,300418,20528,-0.009536,-0.73830664,22.85,23.07,22.85
20171212,300094,20529,-0.009749,-0.30124003,7.11,7.18,7.11
20171213,300699,20530,0.039024,1.929608,70.29,67.65,70.29
20171213,300166,20531,0.027988,1.6986873,13.59,13.22,13.59
20171213,300026,20532,0.015695,1.5585175,4.53,4.46,4.53
20171213,300558,20533,0.008696,1.229847,63.8,63.25,63.8
20171213,300456,20534,-0.001481,0.20147984,47.2,47.27,47.2
20171213,300430,20535,-0.002899,-1.663293,20.64,20.7,20.64
20171213,300488,20536,-0.008797,-1.9934542,31.55,31.83,31.55
