zhongzi,ARR
1,0.07647582040149659
2,1.6684658536350896
3,0.2505998212733893
4,0.1923845403362776
5,1.0846172127175429
6,1.203277550921209
7,0.40926885974973737
8,0.9927073999302916
9,2.0051182432696733
10,0.10561071088019758
11,1.1154430163669335
12,0.05860872459711319
13,0.6823311259703393
14,1.0942520938033335
15,-0.32926758233581066
16,0.1400398821552169
17,1.374873003489406
18,1.0352922726036975
19,0.8604863254506341
20,1.790275834341454
21,1.6909516583415556
22,0.40891033636306817
23,2.232454103356706
24,-0.4073683116271576
25,2.054050966824335
26,1.119167981302983
27,0.8476075416762461
28,-0.2492091918387601
29,1.1107089714872895
30,2.4472341889514104
31,1.372067699282077
32,1.120358203553653
33,0.8293681685661787
34,0.5792054309133854
35,0.7868238302707089
36,-0.036595964888261556
37,1.5355116890777074
38,0.3733016495821111
39,0.2791400766447043
40,0.6079980993779748
41,-0.31672296695090485
42,1.1905145897674543
43,0.27918138222505084
44,2.2057579809527197
45,0.23054826680607343
46,0.9787377172797029
47,3.258012101525824
48,0.18093286182915436
49,2.892010545269946
50,0.37655688702598744
51,0.8212513457549453
52,1.8105487789954018
53,1.5822856766007654
54,-0.21965972739564832
55,2.284534204767403
56,-0.11205095210639926
57,2.050633277637171
58,0.3939981697712902
59,0.552234770883804
60,0.7422058062096453
61,0.89384814988189
62,1.2104549809153262
63,0.05870330134882762
64,1.4964437190088842
65,1.1033434738154169
66,1.4732152959673819
67,0.7975007311652789
68,1.9565064656468687
69,2.729731983394808
70,0.060552831828940334
71,1.2636601156107483
72,1.819675168316914
73,0.6664886315134217
74,3.3393248982370913
75,0.3101169035735918
76,-0.3297266332474843
77,2.49177321337438
78,1.0261628248647057
79,1.0862236230738609
80,1.0230270376837982
81,1.2893649200787825
82,1.2524965504981544
83,0.0675609116410929
84,1.1105696100059466
85,0.687120169986468
86,0.24922312864709473
87,1.9687346855217518
88,0.46107346535967997
89,1.5377015901951188
90,0.5475206498667515
91,2.996222122226032
92,0.5321558640340547
93,0.36005778582241743
94,0.1306322063411689
95,1.7313732665039776
96,1.3194308572943618
97,2.4716487278938377
98,1.260570362651865
99,0.904240265561115
100,0.9611899366078751
101,1.8827262712569532
102,0.2179231580154335
103,0.8935350580554473
104,0.38413736355285333
105,0.25315807387980604
106,1.6683742145544453
107,1.118215833563856
108,1.0444149619648884
109,0.9432134009352158
110,0.20595736009050936
111,1.993236064555434
112,0.6193929739691788
113,0.7409817527646505
114,0.9859923758821243
115,0.11117759426527352
116,0.41939053727342457
117,1.5482748702428202
118,-0.1628096199936624
119,1.3959462468358108
120,0.006038151895608079
121,-0.0344271824861776
122,1.5816906163017301
123,1.6316648330695922
124,0.5100825858814151
125,0.7926307354982225
126,0.16649562110511895
127,0.9359409317638896
128,1.1116458692498603
129,0.33663492516726756
130,1.8848243246543874
131,1.293671066590408
132,0.7758254450186117
133,0.7286075263531349
134,1.1881441089953282
135,2.101906944763596
136,2.0963590063585795
137,0.9857949495549125
138,0.8765302005887639
139,0.5989078334807865
140,1.3661248923797213
141,0.33731790028332553
142,0.9329127607724228
143,0.5066385063871033
144,1.010186837525758
145,1.3972667888793668
146,-0.005879119155722479
147,0.8854865811409025
148,2.5469669166545583
149,0.6487424417478493
150,2.60456358087445
151,1.2440279768513238
152,0.38730933734234685
