trade_date,qid_date,open,high,low,close,vol,amount,pct_chg,group_len
2010-06-02,2010-06-01,967.61,997.12,952.61,997.12,10746.28,400120.63,2.4547,0
2010-06-03,2010-06-02,1002.36,1026.7,997.78,998.39,16168.05,624083.56,0.1274,2
2010-06-04,2010-06-03,989.68,1027.68,986.5,1027.68,15002.95,526944.05,2.9337,1
2010-06-07,2010-06-04,1005.03,1075.23,1001.7,1069.47,26552.75,910609.51,4.0664,1
2010-06-08,2010-06-07,1067.32,1075.5,1050.97,1067.15,19767.21,662199.45,-0.2169,0
2010-06-09,2010-06-08,1070.85,1102.1,1069.43,1077.82,25415.68,899486.62,0.9999,0
2010-06-10,2010-06-09,1077.68,1119.11,1076.28,1117.48,21974.05,824273.1,3.6796,0
2010-06-11,2010-06-10,1122.44,1128.23,1118.71,1122.2,22248.74,844903.94,0.4224,0
2010-06-17,2010-06-11,1126.13,1129.69,1064.84,1064.84,17642.84,675740.93,-5.1114,0
2010-06-18,2010-06-17,1052.07,1053.14,993.17,1000.28,16306.51,582772.12,-6.0629,1
2010-06-21,2010-06-18,991.96,1043.16,976.41,1040.8,15747.98,560426.96,4.0509,1
2010-06-22,2010-06-21,1037.04,1057.37,1033.65,1035,14271.62,506748.01,-0.5573,3
2010-06-23,2010-06-22,1026.87,1056.35,1023.74,1047.34,12573.59,460867.23,1.1923,1
2010-06-24,2010-06-23,1046.76,1059.75,1041.54,1050.6,10691.33,390494.8,0.3113,3
2010-06-25,2010-06-24,1046.21,1046.21,999.16,1016.28,12372.98,451566.44,-3.2667,0
2010-06-28,2010-06-25,1009.22,1014.41,984.22,987.83,9206.73,346355.23,-2.7994,0
2010-06-29,2010-06-28,985.57,992.23,912.54,913.31,14978,529389.67,-7.5438,0
2010-06-30,2010-06-29,898.29,921.81,881.36,919.31,12236.61,385215.85,0.657,0
2010-07-01,2010-06-30,914.4,921.21,882.19,882.19,10495.73,366377.37,-4.0378,0
2010-07-02,2010-07-01,878.95,885.34,832.62,873.12,12888.34,421266.18,-1.0281,0
2010-07-05,2010-07-02,857.37,870.86,842.73,862.27,9158.64,285173.61,-1.2427,0
2010-07-06,2010-07-05,859.26,898.45,857.8,893.72,11652.32,375105.56,3.6473,0
2010-07-07,2010-07-06,896.53,908.55,890.34,908.55,10461.63,334247.37,1.6594,0
2010-07-08,2010-07-07,912,914.3,887.03,905.51,10980.88,378069.89,-0.3346,0
2010-07-09,2010-07-08,903.5,936.53,896.89,932.15,14514.6,474325.66,2.942,0
2010-07-12,2010-07-09,931.54,941.07,924.06,930.17,12636.18,418814.72,-0.2124,1
2010-07-13,2010-07-12,924.95,936.64,906.3,931.08,14686.57,474413.57,0.0978,0
2010-07-14,2010-07-13,929.75,937.93,916.07,922.36,14235.86,464808.04,-0.9365,3
2010-07-15,2010-07-14,920.05,930.56,892.56,892.56,11758.81,396049.08,-3.2308,2
2010-07-16,2010-07-15,885.07,895.06,869.02,892.3,10093.12,326422.17,-0.0291,1
2010-07-19,2010-07-16,881.66,910.18,878.07,908.05,9388.03,299258.42,1.7651,2
2010-07-20,2010-07-19,909.54,937.55,909.54,937.02,13658.09,455958.07,3.1904,1
2010-07-21,2010-07-20,940.1,959.04,938.16,941.25,16657.46,596065.38,0.4514,1
2010-07-22,2010-07-21,938.22,950.21,932.02,950.21,13266.03,435666.94,0.9519,1
2010-07-23,2010-07-22,951.84,964.74,948.13,960.59,17212.51,533908.63,1.0924,1
2010-07-26,2010-07-23,962.76,966.73,954.76,966.15,14760.36,462604.49,0.5788,1
2010-07-27,2010-07-26,963.54,968.04,955.73,957.97,13618.21,457408.67,-0.8467,1
2010-07-28,2010-07-27,955.19,972.53,954.52,972.53,15661.83,518722.76,1.5199,0
2010-07-29,2010-07-28,974.3,982.02,965.61,975.36,17941.93,589785.34,0.291,0
2010-07-30,2010-07-29,971.66,971.66,955.92,968.43,14584.87,504947.3,-0.7105,5
2010-08-02,2010-07-30,968.45,994.23,968.45,994.23,18103.64,610440.76,2.6641,2
2010-08-03,2010-08-02,995.2,996.26,975.65,975.65,17570.59,595141.48,-1.8688,1
2010-08-04,2010-08-03,971.41,978.01,955.93,978.01,14461.65,475829.71,0.2419,1
2010-08-05,2010-08-04,980.27,998.1,978.33,987.35,17704,603398.71,0.955,1
2010-08-06,2010-08-05,987.97,1011.39,985.63,1011.39,18990.61,622531.69,2.4348,0
2010-08-09,2010-08-06,1013.25,1032.34,1013.25,1032.34,20919.95,691889.87,2.0714,4
2010-08-10,2010-08-09,1031.98,1034.33,993.99,993.99,21770.72,710682.27,-3.7149,0
2010-08-11,2010-08-10,991.28,1006.45,990.94,1004.64,16150.78,518018.97,1.0714,0
2010-08-12,2010-08-11,994.05,1007.58,987.98,991.78,16891.89,531605.56,-1.2801,0
2010-08-13,2010-08-12,992.63,1007.52,986.62,1007.21,14717.98,483145.01,1.5558,2
2010-08-16,2010-08-13,1007.5,1031.05,1005.05,1030.22,18804,619992.32,2.2845,0
2010-08-17,2010-08-16,1031.08,1036.82,1023.08,1033.58,18007.77,609295.21,0.3261,2
2010-08-18,2010-08-17,1033.71,1035.61,1018.5,1026.72,16435.01,572127.85,-0.6637,6
2010-08-19,2010-08-18,1026.98,1033.25,1021.7,1025.53,16245.34,554740.68,-0.1159,4
2010-08-20,2010-08-19,1021.46,1022.45,993.56,995.94,18702.25,659777.18,-2.8853,5
2010-08-23,2010-08-20,994.94,1001.18,991.52,995.61,14560.14,506415,-0.0331,2
2010-08-24,2010-08-23,993.58,1007.76,987.22,1004.99,13650.52,494214.86,0.9421,8
2010-08-25,2010-08-24,1000.27,1002.33,976.56,976.88,15013.43,524765.8,-2.797,1
2010-08-26,2010-08-25,978.6,984.87,973,980.63,12880.67,466832.9,0.3839,2
2010-08-27,2010-08-26,978.51,1000.86,975.72,999.46,12162.43,449046.63,1.9202,4
2010-08-30,2010-08-27,1002.99,1025.15,1002.99,1024.93,16454.12,599785.11,2.5484,0
2010-08-31,2010-08-30,1020.75,1029.8,1015.13,1025.57,15347,574261.76,0.0624,1
2010-09-01,2010-08-31,1025.68,1029.81,987.59,995.59,18643.63,680522.34,-2.9233,0
2010-09-02,2010-09-01,1001.6,1018.28,996.52,1014.92,16308.57,590510.23,1.9416,2
2010-09-03,2010-09-02,1017.64,1045.21,1017.51,1036.7,22893.65,844872.45,2.146,0
2010-09-06,2010-09-03,1039.46,1043.24,1007.43,1010.76,18130.81,646621.24,-2.5022,2
2010-09-07,2010-09-06,1010.115,1022.622,1007.637,1022.622,12845.15,458603.11,1.1736,0
2010-09-08,2010-09-07,1020.229,1027.637,1016.836,1026.327,14038.19,479594.6,0.3623,0
2010-09-09,2010-09-08,1029.106,1040.67,1019.688,1021.832,19598.03,640498.33,-0.438,0
2010-09-10,2010-09-09,1021.874,1037.511,1016.191,1034.939,18122.9,574387.25,1.2827,1
2010-09-13,2010-09-10,1034.39,1045.39,1033.254,1042.482,16678.9,552766.05,0.7288,1
2010-09-14,2010-09-13,1044.302,1046.132,1028.769,1031.219,15902.32,555420.47,-1.0804,1
2010-09-15,2010-09-14,1029.52,1030.021,987.049,990.103,18182.74,623821.26,-3.9871,0
2010-09-16,2010-09-15,989.488,994.954,964.528,972.602,14420.58,484302.95,-1.7676,3
2010-09-17,2010-09-16,976.071,981.728,967.555,972.229,9678.41,327160.12,-0.0384,0
2010-09-20,2010-09-17,972.445,975.262,947.414,949.195,9236.59,313627.14,-2.3692,3
2010-09-21,2010-09-20,952.072,953.834,930.248,934.461,8358.59,266443.01,-1.5523,4
2010-09-27,2010-09-21,936.213,951.837,930.865,950.671,8929.37,289653.4,1.7347,0
2010-09-28,2010-09-27,949.631,949.889,939.631,942.049,9394.34,294371.02,-0.9069,0
2010-09-29,2010-09-28,941.268,944.174,924.415,926.758,8317.35,280526.39,-1.6232,1
2010-09-30,2010-09-29,923.825,942.539,921.357,942.539,6997.37,225241.32,1.7028,0
2010-10-08,2010-09-30,946.469,963.18,945.618,959.863,10839.6,341585.02,1.838,0
2010-10-11,2010-10-08,960.913,961.173,941.912,947.11,14468.7,470248.65,-1.3286,2
2010-10-12,2010-10-11,946.626,959.976,945.011,951.79,12401.92,391527.88,0.4941,2
2010-10-13,2010-10-12,951.326,962.738,940.645,962.738,13305.17,412369.05,1.1503,1
2010-10-14,2010-10-13,963.286,975.907,956.864,958.495,13964.05,457734.71,-0.4407,1
2010-10-15,2010-10-14,954.117,957.769,937.12,944.254,13524.98,434311.12,-1.4858,3
2010-10-18,2010-10-15,941.874,941.874,913.816,932.359,13278.76,424301.26,-1.2597,0
2010-10-19,2010-10-18,932.826,1005.591,932.323,995.922,23390.86,775244.29,6.8174,0
2010-10-20,2010-10-19,986.654,1024.579,986.033,1004.542,26381.33,859774.98,0.8655,0
2010-10-21,2010-10-20,1001.682,1001.682,983.656,991.842,15691.23,485364.68,-1.2643,3
2010-10-22,2010-10-21,991.14,1023.7,991.14,1013.45,17657.49,559642.61,2.1786,3
2010-10-25,2010-10-22,1018.08,1043.09,1018.08,1039.05,20636.89,671740.96,2.526,3
2010-10-26,2010-10-25,1041.53,1041.91,1020.94,1036.01,18384.14,589969.38,-0.2926,7
2010-10-27,2010-10-26,1034.86,1048.56,1028.7,1030.59,17016.89,562718.77,-0.5232,5
2010-10-28,2010-10-27,1024.7,1038.62,1023.49,1038.62,15924.77,536352.07,0.7792,12
2010-10-29,2010-10-28,1042.4,1069.75,1042.4,1064.52,22355.18,767878.38,2.4937,13
2010-11-01,2010-10-29,1071.628,1113.623,1071.628,1107.523,28179,983659.62,4.0397,10
2010-11-02,2010-11-01,1108.093,1108.093,1074.58,1075.151,24545.32,865922.15,-2.9229,8
2010-11-03,2010-11-02,1063.2,1063.2,1040.548,1040.621,16204.92,545422.28,-3.2116,6
