zhongzi,ARR,dqn_ARR
4,1.080556025756655,2.627861927516249
11,1.8317108208516086,3.3759393761712584
20,0.542129228925929,1.8060306097016179
21,1.0112478652089454,2.2481269360540543
23,1.931012157173099,3.2504481176370854
27,0.8339548120781692,1.5034710313989574
29,0.9932871132315042,1.5957086118323867
30,1.3885826887055286,2.844642678512712
36,1.0153685645686608,2.296780666732913
37,1.1829106608804127,1.8703169927948649
38,0.58979876631249,1.3879849765269716
42,1.130358756533763,2.615821079641027
43,0.2968087933417567,0.9854242315066057
44,1.5598532664701428,3.422891774188516
45,0.5830043914208101,1.4586307923890223
46,0.9468722675991734,1.7585386308427902
50,2.00138731165224,2.4819361488391025
56,0.8027189627044529,0.954111344215433
57,1.0964172454814785,1.9615650448197277
60,0.9465867218031072,2.473114640651026
62,1.6145492887032966,2.765150301266798
65,0.8722788898289369,2.787843352843799
66,0.8109259393123296,1.9527344909641178
67,0.3508258564929754,1.3790377036497659
70,0.5835164976330236,1.7435635186322793
71,1.6823824980725437,2.439272506032578
72,1.3408467080010538,1.4789803900391458
82,1.0703356790433718,2.102650939040631
83,0.7315317392943759,0.5563892130178725
85,0.6619075909945689,1.3676971684050665
89,1.0477642608726692,1.8074972167004377
90,1.5510282253127343,2.8899573342570886
95,0.7142586313614923,1.5996669554924678
97,0.6816479990011413,1.8013198181512857
99,0.9193854272113475,2.483932230492483
103,0.5437054565233632,1.069217766552525
108,1.6855306527542155,2.0658797281352217
114,1.3476815415221872,1.9230923438557053
115,0.7070845734502631,1.2320954635925765
116,0.6223127047730874,2.11668941832386
120,0.10530693402509073,0.6307660344165062
123,1.2669209822051513,3.050194474786843
124,1.9751527740201902,1.8065379702467443
127,0.8942541820963466,1.9700960023200809
132,0.9128369750593512,0.9169348769240409
134,1.8035707588197978,2.7036499696347125
136,2.279686717305526,2.9190680434497533
141,1.3074304248676478,2.549220043769794
142,0.19745308611408752,0.7815506877310956
148,2.9329009454740818,5.409244038940421
151,0.6305898733188178,1.8757772273515902
152,0.7458597448175801,0.8160886274894692
154,0.8972918855461833,2.9626136250219313
160,0.621164503688197,1.9001769930067063
163,0.6674878865363094,1.2158634723063897
169,0.9756584968856952,2.36253467395148
171,2.0335413133759137,1.8497801926317239
173,0.7860653892515488,1.7267701810265184
174,0.9135213558157522,1.4607695476448717
182,1.0407481721757872,2.437714731970883
192,2.2116747384263205,4.3966249976243335
193,2.0582256022858707,3.4555260319059737
195,0.41530961391606325,1.4612336403534565
197,1.5616751475129096,1.8209099391079682
198,0.9139823046838942,1.9683816367136027
199,0.8713382749908529,1.7482354676664906
200,1.4320835344589922,1.3894452331385323
204,0.6287475436072141,1.8072317237655837
205,0.7338476497680484,2.172260362959487
206,1.0151664914056866,2.38934194165682
211,1.6277437298540884,3.2508685675208486
212,0.6557424877738156,1.3230986541260528
215,1.1694812231415201,2.4473542177549024
218,0.9324746807006641,2.365067718574436
220,0.5986147612900032,1.5313416477499895
225,0.7167694169992513,1.6968470879245694
233,2.250967146598617,2.389722956980447
235,1.852487391206977,3.298075678488411
237,0.884118139169012,1.6397374893731023
239,1.2532051812350358,1.6917812493958544
246,1.2383713114251074,1.748660291832226
247,1.3358398754055862,3.044445796524265
248,1.2440539223183147,2.1172720151948625
250,1.8415342140282331,2.771111530379449
256,0.12013812774362465,0.8808564065642099
262,2.628467655013925,4.451662495357008
263,1.073994204040511,1.7926812372431127
264,0.28677678280339247,1.3123498242067124
265,0.7540278779668095,2.193241016660946
