zhongzi,ARR
1,0.07647582040149659
2,1.6684658536350896
6,1.203277550921209
9,2.0051182432696733
11,1.1154430163669335
13,0.6823311259703393
15,-0.32926758233581066
19,0.8604863254506341
23,2.232454103356706
24,-0.4073683116271576
29,1.1107089714872895
33,0.8293681685661787
35,0.7868238302707089
38,0.3733016495821111
41,-0.31672296695090485
43,0.27918138222505084
46,0.9787377172797029
49,2.892010545269946
50,0.37655688702598744
55,2.284534204767403
56,-0.11205095210639926
58,0.3939981697712902
62,1.2104549809153262
66,1.4732152959673819
67,0.7975007311652789
68,1.9565064656468687
70,0.060552831828940334
74,3.3393248982370913
78,1.0261628248647057
81,1.2893649200787825
82,1.2524965504981544
93,0.36005778582241743
95,1.7313732665039776
96,1.3194308572943618
97,2.4716487278938377
98,1.260570362651865
99,0.904240265561115
100,0.9611899366078751
101,1.8827262712569532
107,1.118215833563856
111,1.993236064555434
124,0.5100825858814151
137,0.9857949495549125
138,0.8765302005887639
142,0.9329127607724228
146,-0.005879119155722479
159,1.2401984257518972
162,2.94749082344848
168,1.3233015871381282
172,1.656536288699793
173,0.684360078890369
176,1.008364699311946
178,0.7649058536843731
183,1.1078607815525934
186,0.16043351321919208
191,-0.13622820297205995
200,0.878594614515726
201,-0.07099425617168931
202,1.174976608505434
205,0.6764162893967298
208,0.7476733785851652
213,0.30147156599651415
214,1.1080223798847997
217,1.2514688161662866
219,0.34938623472587627
220,0.26672668363855156
222,1.0093493600011696
223,1.5191476739816512
224,1.2821429416621024
226,0.16190287818594373
228,0.6699131535593752
229,1.6020511113891591
230,0.9060620798452159
234,0.8942661801543297
238,0.5446396132947093
241,1.96005347124063
247,0.8366949220271218
249,0.8868299451853823
250,1.2737560385064999
251,1.0257948945672757
257,1.6412765530844386
258,0.9609791914841688
259,1.0624985877001545
262,1.5399188861665842
267,1.2498496744137242
269,1.023793542336628
272,0.9122786189309973
274,0.794983542638892
287,0.9657654784463903
289,-0.12694245542359117
290,0.7340208285093532
296,1.2795289787827238
298,2.521054181799905
304,0.7643499811548355
306,0.05150223377285901
315,0.8000486079068301
316,1.0228968601279238
336,-0.21199864828137505
339,0.7457911345317163
343,0.945728925083374
346,1.7770128966023622
349,1.7202948525619188
360,-0.1314608486914457
363,1.3126730185561137
366,-0.30839883067771545
368,-0.18989908733746774
373,1.2970146250050285
375,1.1967451295540625
376,1.5000887887409742
380,2.8184350930266175
382,1.1779062615210814
383,1.1251340579188351
390,0.7398415126450573
391,0.6561530828236493
392,1.4001942946656447
393,1.0388367206161755
395,1.6203551554268176
398,3.51128861628177
399,0.1046926552459091
402,0.9303301664275045
403,0.7056478413584946
408,0.7429141675508528
411,1.1901941783007244
417,1.7069351501019807
420,1.6338015627908988
421,2.7289195611929125
429,-0.3587284582215803
430,1.4245564389824001
431,2.2846955960437096
432,0.03740996658363116
435,-0.1686218106505344
438,0.6847294005086675
441,0.7484135586195126
447,0.4703569358083082
449,0.9251257929503975
452,2.071147694123215
456,1.8651959988266857
457,0.07095769957921005
458,0.7077568110628862
460,2.61699646971896
461,1.2378975809877044
466,0.8820071453025113
468,0.6738596501749914
472,0.5227688091094314
476,1.7234878090257646
479,2.503828650491166
481,1.7646572159035574
482,0.8100704705852639
505,1.6635357637062178
506,3.049669935400143
509,0.8349497373746284
