zhongzi,ARR,dqn_ARR
4,-0.23021462491500033,-0.2774750351783567
9,1.3679150331657954,-0.0626097829380744
12,-0.7370532171418969,-0.5441263065298161
16,0.8868747091302474,0.5884646465650183
17,0.25227236098891326,0.7388975956227237
19,-0.23577835862778307,0.07274209536355869
20,0.3398001385948868,-0.05227872438668235
21,-0.48728059792847533,0.1613866941117268
23,0.7230928536424912,1.405139454903984
32,-0.12623309889108225,0.19102731235226456
34,-0.30121945868165023,0.9819248273965957
36,-0.8374180411474547,-0.660763800039527
39,2.883226062344357,7.25588236421955
44,-0.18158758029574507,-0.43179743316954855
46,2.990994074319836,7.002912268404106
47,-0.030353046537778816,1.0598934088778083
51,-0.12127582595335151,1.2361969937594166
53,1.8640955780772313,2.357489363508086
57,-0.09679098810531961,-0.13737011365850216
58,-0.8142985386684338,-0.6749980380123167
65,0.23656202690906447,0.28173897855625674
71,0.30517764556821625,0.7540831090712652
75,-0.395013599087799,0.041893533279020456
76,-0.7795361088456448,-0.6729911057004674
77,0.27523755808319983,0.3915293170005465
81,1.3466543224770162,1.8943114408715345
94,-0.4329205598561904,0.3826043877169265
96,4.006275384609119,5.034287502230688
100,-0.7114305171919466,-0.5701617799919807
101,-0.2607001168273816,-0.3011658559546867
103,0.2880176229535738,-0.07631335269394723
105,-0.2796455198388992,-0.18000440519104122
111,0.19566557029119358,1.1075493778592853
116,0.1616283526964033,-0.34473937954779166
122,-0.1593475887105683,-0.29023879126430707
123,-0.08878356849409774,0.9402013461360579
127,0.9502091694249437,-0.11171181121533114
131,-0.18074485689238695,0.1817088607556312
134,0.26079994021058783,1.0312066506050201
136,0.4719982437776389,2.859296575085961
137,0.5447625048323981,2.5303652937226015
140,-0.45585428192752775,-0.44220498721405443
148,0.06850226713599139,0.5786541565623051
149,-0.055089010834846186,0.4119868685745691
150,0.5020296446717436,-0.009374571787625796
151,1.165823815196514,1.412401613691404
152,0.12082048565961734,0.16017481956434332
158,3.9018435064652595,3.3812325695685734
159,0.4105857065619256,1.1318643929774281
169,0.2720032053623036,0.5167949240994998
171,0.5421836836889082,0.18767808159292554
172,4.048903366368246,3.088684685366955
174,0.6205961302793344,0.4880424163610835
180,3.0191608437580415,3.2686149032720815
182,-0.0913632511173833,-0.22141564792976487
183,-0.08875697633843993,-0.41229938060208515
193,0.0684020367220608,0.10341552657628239
199,-0.8446135095950019,-0.6481351244137865
200,-0.7786085010620104,-0.5191786549663411
204,0.05275486666526463,0.06151273907184396
206,-0.4058351926529824,0.3726606451057446
208,-0.613228448332241,-0.5995424367767795
209,-0.674316052173464,-0.5668096144312269
211,-0.37118363048330316,0.28688283633984657
214,-0.22940376304871868,-0.6252555127888113
215,2.2780201265581295,1.0520218799998586
222,0.05626959683100008,1.8513855142830362
224,1.3256856737327234,1.7591925708371536
242,0.25116672128915196,0.49508795202923483
245,0.6753281121146433,1.5585689871385031
247,-0.456252631283383,-0.010421465333862345
251,0.9556333258899641,0.7222936872820529
253,1.9034404443566721,1.9424383748939094
254,1.7949231461564117,0.6065198484679875
256,-0.5917984090906707,-0.3939577837043716
257,3.726847609509228,2.032275954416766
262,-0.4804276452196302,0.42414450479912125
264,-0.8347600912486097,-0.5599201908281176
265,0.86672129630441,-0.0978822644197127
266,0.6195381066116268,0.548416473155243
271,-0.7303964075404332,-0.4350868289489076
277,6.103019946241532,4.668065883530702
283,0.425815533614214,0.8478282524814069
289,-0.44855771891949003,-0.29197439465681163
290,-0.5079416295123995,-0.42871799262679866
296,0.41209475348588853,0.13837218423754893
298,-0.1689894553418605,-0.03590055135279102
300,0.21262689842157312,0.6232022567635558
301,-0.2733542536939588,0.5437725025351008
302,-0.6315066882059948,0.0012708257491702568
303,2.9052705127015903,0.38950993464098205
304,-0.1869345174271101,-0.11569453849859412
308,-0.7992683308628455,-0.5754044827607114
310,-0.7305325176863389,-0.4400798539633587
