3068,,,,,,,60,,,,,,,,,,,,,,,,,,,
券商名字,ARR,MDR,CR,SR,WR,标准差,券商名字,ARR,MDR,CR,SR,WR,标准差,,,,,,,,,,,,,
中航证券,0.071315374,0.230777048,0.309022817,0.588111073,0.523809524,0.087254561,中国银河,-0.217598453,0.412855291,-0.527057441,-2.172042139,0.49822695,0.109389431,,,,,,,,,,,,,
中银证券,-0.312624287,0.475081973,-0.658042833,-2.062022812,0.477272727,0.161309703,中航证券,-0.304674755,0.434759092,-0.700789841,-2.536696138,0.479591837,0.127991189,,,,,,,,,,,,,
中邮证券,-0.002627096,0.174359979,-0.015067081,-0.45184703,0.444444444,0.050076894,中银证券,-0.396611104,0.540859527,-0.733297806,-2.777565274,0.46038864,0.149991472,,,,,,,,,,,,,
中原证券,-0.121012352,0.206322401,-0.586520667,-2.270332278,0.487179487,0.062110887,中邮证券,-0.021825338,0.182290781,-0.11972815,-0.797402705,0.421296296,0.052451964,,,,,,,,,,,,,
,,,,,,,中原证券,-0.222202077,0.314642895,-0.706204019,-2.565428071,0.481675393,0.094410005,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,招银国际,-0.000104845,0.006391247,-0.016404521,-23.84361465,0.5,0.000843196
