group,ARR,MDR×10,CR,SR,WR×10
ChiNext,0.048032391,3.46130061,0.138769776,1.157115411,4.931506849
Main Board,0.098657782,1.58881068,0.62095367,1.147718256,5.252525253
ChiNext,0.093794967,2.95514412,0.317395576,1.14708616,4.962546816
ChiNext,0.145022425,6.14307623,0.236074598,1.052547983,4.87704918
ChiNext,0.062841472,5.07270139,0.12388167,0.934206966,4.885321101
Main Board,0.085425759,4.68398969,0.182378196,0.885515211,4.979919679
Main Board,0.020907952,2.2828798,0.091585865,0.873504198,5.423728814
Main Board,0.069372628,3.09440869,0.224187024,0.81244942,4.957627119
Main Board,0.06719792,4.09594231,0.164059731,0.740018816,4.87150838
ChiNext,0.041162356,3.85235527,0.106849844,0.690899053,4.929245283
Main Board,0.005447821,1.4734422,0.036973431,0.58766538,5.119047619
ChiNext,0.053446483,4.32088767,0.123693294,0.538738905,5.07656066
Main Board,0.011615611,1.33876068,0.086763909,0.532726955,4.184100418
Main Board,0.001803878,0.60885963,0.029627159,0.462881255,5.517241379
ChiNext,0.017186409,5.9395826,0.028935382,0.4251434,4.89539749
ChiNext,0.002358601,1.20729488,0.01953625,0.377721407,4.888888889
Main Board,0.012966031,2.93811802,0.044130394,0.304096956,4.521276596
Main Board,0.00877551,3.75350417,0.023379514,0.278936011,4.990723562
Main Board,0.081597164,2.87795227,0.283525076,0.193174056,4.938271605
ChiNext,-0.004011713,4.37249512,-0.009174882,0.144954064,4.810495627
ChiNext,-0.01886753,3.71959996,-0.050724621,-0.014627074,4.816176471
ChiNext,-0.000651781,0.09432,-0.069103159,-0.570093663,3.333333333
Main Board,-0.006425835,0.70362,-0.09132536,-0.916695607,5
ChiNext,-0.03917598,3.1351102,-0.124958862,-1.016522672,4.782608696
ChiNext,-0.022028254,0.99911,-0.220478766,-1.056925636,0
ChiNext,-0.022948667,1.68857992,-0.135905129,-1.197257955,4.615384615
Main Board,-0.029880577,1.11318901,-0.268423212,-1.287089567,1.818181818
ChiNext,-0.120398881,5.28197646,-0.227942859,-1.296314919,4.534161491
ChiNext,-0.006867449,0.182675,-0.375938064,-1.332997565,3.333333333
ChiNext,-0.004831502,0.29587084,-0.163297665,-1.339060894,6.666666667
ChiNext,-0.025764658,1.21803077,-0.211527152,-1.644521533,4
Main Board,-0.065154566,3.23558455,-0.201368762,-1.507405633,3.947368421
ChiNext,-0.007508312,0.23575831,-0.318474963,-1.583079324,2.5
Main Board,-0.000928507,0.05385,-0.172424729,-1.247649566,5
ChiNext,-0.018934023,1.16137787,-0.163030689,-1.272048296,5.714285714
ChiNext,-0.047656581,2.38492961,-0.199823849,-1.61723127,3.5
