qid_date,mean_return,1
20220826,-0.002516501,0.927391912
20220829,-0.005997775,0.921829624
20220830,-0.010349597,0.912289059
20220831,-0.008362904,0.904659674
20220901,-0.001835916,0.902998794
20220902,-0.005979913,0.897598939
20220905,0.014259746,0.910398472
20220906,0.001723441,0.91196749
20220907,-0.006303735,0.906218688
20220908,0.00559,0.911284451
20220913,-0.010696958,0.901536479
20220914,-0.02974295,0.874722125
20220915,-0.015184808,0.861439637
20220916,-0.005418929,0.856771558
20220919,0.014289667,0.869014537
20220920,-0.00496295,0.864701662
20220921,-0.00092095,0.863905315
20220922,-0.026738667,0.840805639
20220923,0.00070025,0.841394413
20220926,0.031023926,0.867497771
20220927,-0.027441875,0.843692005
20220928,-0.000759739,0.843051019
20220930,-0.019510842,0.826602384
20221010,0.008856244,0.833922976
20221011,0.025078672,0.854836658
20221012,-0.007670366,0.848279748
20221013,0.022791209,0.867613069
20221014,-0.003165775,0.864866401
20221017,-0.002503581,0.862701138
20221018,-0.013040966,0.851450682
20221019,-0.014122812,0.839425804
20221020,0.000160259,0.83956033
20221021,-0.011472316,0.829928629
20221024,-0.000557605,0.829465856
20221025,0.010548399,0.838215393
20221026,-0.008993976,0.830676504
20221027,-0.032682022,0.803528316
20221028,-0.011056144,0.794644391
20221031,0.03374885,0.821462725
20221101,0.016322149,0.834870762
20221102,-0.001624453,0.833514553
20221103,0.029128373,0.857793477
20221104,-0.000179353,0.857639629
20221107,-0.01015513,0.848930186
20221108,-0.009067605,0.841232423
20221109,-0.018658629,0.82553618
20221110,0.011878937,0.835342672
20221111,-0.010797529,0.826323035
20221114,0.017127457,0.840475848
20221115,-0.008318686,0.833484193
20221116,0.012988258,0.844309701
20221117,-0.003392467,0.841445408
20221118,0.001473848,0.842685572
20221121,-0.018041179,0.827482531
20221122,-0.00397196,0.824195803
20221123,-0.000361421,0.823897921
20221124,-0.002644773,0.821718899
20221125,0.005924969,0.826587557
20221128,0.0092085,0.834199189
20221129,0.0027386,0.836483727
20221130,0.008655438,0.843723859
20221201,-0.002664,0.841476179
20221202,0.003654558,0.844551403
20221205,0.006683929,0.850196324
20221206,-0.000751231,0.84955763
20221207,0.006091053,0.854732331
20221208,-0.002739706,0.852390615
20221209,-0.01313486,0.841194584
20221212,-0.006369121,0.835836913
20221213,0.00966045,0.843911474
20221214,-0.005969706,0.838873571
20221215,-0.016393,0.825121916
20221216,-0.014893615,0.812832868
20221219,-0.012401167,0.802752792
20221220,0.002522692,0.80477789
20221221,0.002220095,0.806564574
20221222,-0.0104495,0.798136377
20221223,0.0232112,0.81666208
20221226,0.010266,0.825045933
20221227,-0.00435472,0.821453089
20221228,0.0009213,0.822209894
20221229,0.004579545,0.825975242
20221230,0.001879481,0.827527647
20230103,0.000613021,0.828034938
20230104,0.018758563,0.843567684
20230105,0.00484404,0.847653959
20230106,-0.003094065,0.845031263
20230109,0.00985768,0.85336131
20230110,-0.011816028,0.843277969
20230111,-0.002892881,0.840838467
20230112,-0.000798867,0.840166749
20230113,0.003775237,0.843338578
20230116,0.001906697,0.844946569
20230117,-0.007854439,0.838309988
20230118,0.000360373,0.838612092
20230119,0.002966704,0.841100005
20230120,0.003422,0.84397825
20230130,0.003744821,0.847138797
20230131,0.011129087,0.856566679
20230201,0.002596426,0.858790691
20230202,-0.005064259,0.854441553
20230203,-0.011440673,0.844666166
20230206,0.0037,0.847791431
20230207,-0.00784732,0.84113854
20230208,0.015990897,0.854589101
20230209,0.000650192,0.855144748
20230210,0.011671361,0.865125451
20230213,0.003096108,0.867803973
20230214,-0.004625227,0.863790182
20230215,-0.0205089,0.846074796
20230216,-0.00810281,0.839219213
20230217,0.021521851,0.857280764
20230220,0.0151251,0.870247221
20230221,0.002999897,0.872857873
20230222,-0.016278448,0.858649101
20230223,-0.0019391,0.856984094
20230224,-0.005929367,0.851902722
20230227,0.008701929,0.859315918
20230228,0.003949164,0.862709497
20230301,-0.003485,0.859702955
20230302,-0.007630455,0.85314303
20230303,0.010897,0.86243973
