,0
advance_reaction,0.007134997
analyst_coverage,0.019769354
avg_sentence_len,0.038255894
broker_size,0.005702427
broker_status,0
cma,0.008543543
hml,0
ind_1,0
ind_2,0
ind_3,0
ind_4,0.003300912
ind_5,0
ind_6,0
listed,0.002753731
num_authors,0.008001648
num_sentence,0
page,0.038999798
prior_performance_avg,0.000945012
prior_performance_sd,0
rm_rf,0
rmw,0.033912855
sd_sentence_len,0
smb,0.014671022
star_analyst,0.004125647
title_len,0.013540309
