,0
advance_reaction,0.04455581
analyst_coverage,0.042380635
avg_sentence_len,0.032700997
broker_size,0.026332496
broker_status,0.03394609
cma,0.045894004
hml,0.036180083
ind_1,0.039633088
ind_2,0.07777642
ind_3,0.06252147
ind_4,0.015841093
ind_5,0.03943941
ind_6,0.041163113
listed,0.033531647
num_authors,0.03529939
num_sentence,0.03337668
page,0.024468774
prior_performance_avg,0.032912184
prior_performance_sd,0.032582913
rm_rf,0.04051677
rmw,0.087723725
sd_sentence_len,0.03840285
smb,0.04263221
star_analyst,0.031226309
title_len,0.02896184
