Features,LTR-DQN,LR,XGBoost_R
advance_reaction,0.11109164,0.2538860733972686,0.4890675
analyst_coverage,1.0,0.5313497919049761,0.56365234
avg_sentence_len,0.06457857,0.0,0.35955945
broker_size,0.07311043,0.23667861258105544,0.29742834
broker_status,0.13831495,0.12613884433132547,0.4900571
cma,0.08187678,0.0,1.0
hml,0.15328589,0.17866146412293235,0.59199923
ind_1,0.1523734,0.07337716824254883,0.42637777
ind_2,0.069073,0.0,0.43185177
ind_3,0.123646066,0.06148094275876884,0.3434738
ind_4,0.2070462,0.0,0.081591934
ind_5,0.13183942,0.12015752964306381,0.30233625
ind_6,0.15656914,0.0,0.0
listed,0.0,0.07666712956820135,0.071473844
num_authors,0.026867842,0.2419075154628564,0.26489395
num_sentence,0.081101105,0.0,0.22383511
page,0.33285037,1.0,0.2981304
prior_performance_avg,0.05632639,0.2774043515042281,0.33246672
prior_performance_sd,0.104623035,0.03707502075608944,0.30408704
rm_rf,0.12992156,0.10090621259398343,0.5912681
rmw,0.076161705,0.22181551923881432,0.7142254
sd_sentence_len,0.06361961,0.0,0.3241848
smb,0.068201035,0.44624796366190234,0.71364886
star_analyst,0.055652305,0.043034549314707564,0.35658398
title_len,0.099877596,0.0,0.24896109
