,Features,VarImp,LTR-DQN
0,page,0.06990629,0.3875755
1,advance_reaction,0.03272348,0.10374884
2,star_analyst,0.03212758,0.09920019
3,title_len,0.0383844,0.14696021
4,num_sentence,0.032207932,0.09981353
5,avg_sentence_len,0.03311366,0.10672719
6,sd_sentence_len,0.030759707,0.088758826
7,num_authors,0.03286082,0.1047972
8,analyst_coverage,0.15013717,1.0
9,rm_rf,0.031781405,0.09655773
10,smb,0.027336078,0.06262532
11,hml,0.052893635,0.2577132
12,rmw,0.029772088,0.08122005
13,cma,0.032908753,0.10516308
14,broker_size,0.029540138,0.07944952
15,listed,0.019131826,0.0
16,prior_performance_avg,0.02824355,0.069552295
17,prior_performance_sd,0.037733797,0.14199398
18,broker_status,0.04036232,0.16205823
19,ind_1,0.047579717,0.21715061
20,ind_2,0.023687093,0.034771606
21,ind_3,0.032957293,0.10553361
22,ind_4,0.03735132,0.13907444
23,ind_5,0.0426989,0.17989399
24,ind_6,0.033801023,0.11197403
