Sampling Rate,Model,Value
50%,LambdaMART,-0.00274265
50%,LambdaMART,-0.010992311
50%,LambdaMART,-0.015368884
50%,LambdaMART,-0.024369049
50%,LambdaMART,-0.026312036
50%,LambdaMART,-0.032140616
50%,LambdaMART,-0.045236318
50%,LambdaMART,-0.061828113
50%,LambdaMART,-0.067559289
50%,LambdaMART,-0.075682207
50%,LambdaMART,-0.076975818
50%,LambdaMART,-0.078515406
50%,LambdaMART,-0.080160286
50%,LambdaMART,-0.08770211
50%,LambdaMART,-0.088960486
50%,LambdaMART,-0.08920417
50%,LambdaMART,-0.089965329
50%,LambdaMART,-0.092199653
50%,LambdaMART,-0.097297114
50%,LambdaMART,-0.106636271
50%,LambdaMART,-0.113924515
50%,LambdaMART,-0.114555607
50%,LambdaMART,-0.114813343
50%,LambdaMART,-0.118747627
50%,LambdaMART,-0.119711349
50%,LambdaMART,-0.1226332
50%,LambdaMART,-0.12472781
50%,LambdaMART,-0.128006938
50%,LambdaMART,-0.132232827
50%,LambdaMART,-0.133339319
50%,LambdaMART,-0.133695361
50%,LambdaMART,-0.138396489
50%,LambdaMART,-0.149582478
50%,LambdaMART,-0.149900479
50%,LambdaMART,-0.155649148
50%,LambdaMART,-0.161623671
50%,LambdaMART,-0.164413469
50%,LambdaMART,-0.168250322
50%,LambdaMART,-0.171073919
50%,LambdaMART,-0.177561907
50%,LambdaMART,-0.180032376
50%,LambdaMART,-0.181861067
50%,LambdaMART,-0.182220947
50%,LambdaMART,-0.183907634
50%,LambdaMART,-0.189509436
50%,LambdaMART,-0.191334449
50%,LambdaMART,-0.19572259
50%,LambdaMART,-0.208901868
50%,LambdaMART,-0.227754037
50%,LambdaMART,-0.231101645
50%,LambdaMART,-0.237162378
50%,LambdaMART,-0.238628471
50%,LambdaMART,-0.240452502
50%,LambdaMART,-0.24059666
50%,LambdaMART,-0.2424067
50%,LambdaMART,-0.250621394
50%,LambdaMART,-0.254531085
50%,LambdaMART,-0.25647125
50%,LambdaMART,-0.261095804
50%,LambdaMART,-0.262651155
50%,LambdaMART,-0.263530448
50%,LambdaMART,-0.265271587
50%,LambdaMART,-0.281505851
50%,LambdaMART,-0.282263103
50%,LambdaMART,-0.282724396
50%,LambdaMART,-0.28365115
50%,LambdaMART,-0.286366136
50%,LambdaMART,-0.286493544
50%,LambdaMART,-0.286739961
50%,LambdaMART,-0.292555616
50%,LambdaMART,-0.297275941
50%,LambdaMART,-0.297557832
50%,LambdaMART,-0.301740112
50%,LambdaMART,-0.305173024
50%,LambdaMART,-0.305595401
50%,LambdaMART,-0.306418992
50%,LambdaMART,-0.309910159
50%,LambdaMART,-0.314117258
50%,LambdaMART,-0.317069527
50%,LambdaMART,-0.322239921
50%,LambdaMART,-0.326856841
50%,LambdaMART,-0.329322221
50%,LambdaMART,-0.33521894
50%,LambdaMART,-0.337845846
50%,LambdaMART,-0.338269337
50%,LambdaMART,-0.351949381
50%,LambdaMART,-0.357901572
50%,LambdaMART,-0.358173901
50%,LambdaMART,-0.358582892
50%,LambdaMART,-0.359500847
50%,LambdaMART,-0.361744676
50%,LambdaMART,-0.36683053
50%,LambdaMART,-0.371608681
50%,LambdaMART,-0.382853104
50%,LambdaMART,-0.384206461
50%,LambdaMART,-0.389693834
50%,LambdaMART,-0.394082292
50%,LambdaMART,-0.395584846
50%,LambdaMART,-0.400507488
50%,LambdaMART,-0.405259961
50%,LambdaMART,-0.408290156
50%,LambdaMART,-0.412645617
50%,LambdaMART,-0.415520236
50%,LambdaMART,-0.417650458
50%,LambdaMART,-0.418430714
50%,LambdaMART,-0.419752848
50%,LambdaMART,-0.420011674
50%,LambdaMART,-0.420036293
50%,LambdaMART,-0.424123937
50%,LambdaMART,-0.425745292
50%,LambdaMART,-0.434435111
50%,LambdaMART,-0.440164956
50%,LambdaMART,-0.440782712
50%,LambdaMART,-0.441579211
50%,LambdaMART,-0.445092415
50%,LambdaMART,-0.449373509
50%,LambdaMART,-0.449514998
50%,LambdaMART,-0.451342174
50%,LambdaMART,-0.455688436
50%,LambdaMART,-0.456541197
50%,LambdaMART,-0.463364087
50%,LambdaMART,-0.464514082
50%,LambdaMART,-0.469484669
50%,LambdaMART,-0.470883445
50%,LambdaMART,-0.471659034
50%,LambdaMART,-0.47258483
50%,LambdaMART,-0.479514148
50%,LambdaMART,-0.479790711
50%,LambdaMART,-0.480135755
50%,LambdaMART,-0.481319385
50%,LambdaMART,-0.482036901
50%,LambdaMART,-0.482204415
50%,LambdaMART,-0.484553532
50%,LambdaMART,-0.48887183
50%,LambdaMART,-0.49318774
50%,LambdaMART,-0.494197207
50%,LambdaMART,-0.494747959
50%,LambdaMART,-0.494955116
50%,LambdaMART,-0.499469444
50%,LambdaMART,-0.500846213
50%,LambdaMART,-0.502145871
50%,LambdaMART,-0.505795714
50%,LambdaMART,-0.51000058
50%,LambdaMART,-0.511437762
50%,LambdaMART,-0.516813538
50%,LambdaMART,-0.520558753
50%,LambdaMART,-0.528445478
50%,LambdaMART,-0.529133131
50%,LambdaMART,-0.533358103
50%,LambdaMART,-0.539144978
50%,LambdaMART,-0.5410073
50%,LambdaMART,-0.544576757
50%,LambdaMART,-0.552043667
50%,LambdaMART,-0.557051051
50%,LambdaMART,-0.563129242
50%,LambdaMART,-0.5716384
50%,LambdaMART,-0.572143888
50%,LambdaMART,-0.577881611
50%,LambdaMART,-0.586972512
50%,LambdaMART,-0.589055124
50%,LambdaMART,-0.590081697
50%,LambdaMART,-0.59246582
50%,LambdaMART,-0.594738587
50%,LambdaMART,-0.598217823
50%,LambdaMART,-0.598742632
50%,LambdaMART,-0.599555271
50%,LambdaMART,-0.609740567
50%,LambdaMART,-0.610678632
50%,LambdaMART,-0.612393843
50%,LambdaMART,-0.612519908
50%,LambdaMART,-0.612738137
50%,LambdaMART,-0.613266913
50%,LambdaMART,-0.614692035
50%,LambdaMART,-0.617544937
50%,LambdaMART,-0.620037181
50%,LambdaMART,-0.625663787
50%,LambdaMART,-0.626272928
50%,LambdaMART,-0.627348446
50%,LambdaMART,-0.627638539
50%,LambdaMART,-0.630148346
50%,LambdaMART,-0.631485121
50%,LambdaMART,-0.632515235
50%,LambdaMART,-0.632530399
50%,LambdaMART,-0.638455782
50%,LambdaMART,-0.638789971
50%,LambdaMART,-0.645269444
50%,LambdaMART,-0.647717556
50%,LambdaMART,-0.648549256
50%,LambdaMART,-0.650466623
