Sampling Rate,Model,Value
60%,LTR-DQN,2.124203661
60%,LTR-DQN,2.121429228
60%,LTR-DQN,2.099380127
60%,LTR-DQN,2.088512993
60%,LTR-DQN,2.071535657
60%,LTR-DQN,2.02806071
60%,LTR-DQN,2.00477454
60%,LTR-DQN,1.98931084
60%,LTR-DQN,1.983443581
60%,LTR-DQN,1.981270944
60%,LTR-DQN,1.980411286
60%,LTR-DQN,1.964075068
60%,LTR-DQN,1.960339784
60%,LTR-DQN,1.954183821
60%,LTR-DQN,1.949777685
60%,LTR-DQN,1.947277386
60%,LTR-DQN,1.930804165
60%,LTR-DQN,1.91869936
60%,LTR-DQN,1.912288092
60%,LTR-DQN,1.899300484
60%,LTR-DQN,1.89575076
60%,LTR-DQN,1.871313745
60%,LTR-DQN,1.869410604
60%,LTR-DQN,1.867447311
60%,LTR-DQN,1.865439478
60%,LTR-DQN,1.86231205
60%,LTR-DQN,1.855783561
60%,LTR-DQN,1.854473584
60%,LTR-DQN,1.836127028
60%,LTR-DQN,1.818081422
60%,LTR-DQN,1.816607558
60%,LTR-DQN,1.752440597
60%,LTR-DQN,1.747369482
60%,LTR-DQN,1.685777573
60%,LTR-DQN,1.680780065
60%,LTR-DQN,1.680530967
60%,LTR-DQN,1.65856628
60%,LTR-DQN,1.635318083
60%,LTR-DQN,1.599593572
60%,LTR-DQN,1.532705288
60%,LTR-DQN,1.484473735
60%,LTR-DQN,1.479049488
60%,LTR-DQN,1.470113192
60%,LTR-DQN,1.439444093
60%,LTR-DQN,1.435438936
60%,LTR-DQN,1.423494503
60%,LTR-DQN,1.413384266
60%,LTR-DQN,1.412322942
60%,LTR-DQN,1.390207817
60%,LTR-DQN,1.378639621
60%,LTR-DQN,1.376209374
60%,LTR-DQN,1.370393632
60%,LTR-DQN,1.317739141
60%,LTR-DQN,1.315250734
60%,LTR-DQN,1.301241171
60%,LTR-DQN,1.299469015
60%,LTR-DQN,1.299028592
60%,LTR-DQN,1.28429837
60%,LTR-DQN,1.280659173
60%,LTR-DQN,1.275359534
60%,LTR-DQN,1.258525951
60%,LTR-DQN,1.244173959
60%,LTR-DQN,1.226723007
60%,LTR-DQN,1.22378187
60%,LTR-DQN,1.214597061
60%,LTR-DQN,1.189888055
60%,LTR-DQN,1.188498756
60%,LTR-DQN,1.187935556
60%,LTR-DQN,1.17511312
60%,LTR-DQN,1.174496106
60%,LTR-DQN,1.162989173
60%,LTR-DQN,1.138379418
60%,LTR-DQN,1.13742747
60%,LTR-DQN,1.130433701
60%,LTR-DQN,1.125438505
60%,LTR-DQN,1.115995321
60%,LTR-DQN,1.115582776
60%,LTR-DQN,1.066593525
60%,LTR-DQN,1.066399324
60%,LTR-DQN,1.041608092
60%,LTR-DQN,1.034742199
60%,LTR-DQN,1.031864053
60%,LTR-DQN,1.028826523
60%,LTR-DQN,1.015032187
60%,LTR-DQN,1.013632063
60%,LTR-DQN,1.002310724
60%,LTR-DQN,1.001039086
60%,LTR-DQN,1.000674453
60%,LTR-DQN,0.993446382
60%,LTR-DQN,0.986709691
60%,LTR-DQN,0.985355139
60%,LTR-DQN,0.974002517
60%,LTR-DQN,0.973443006
60%,LTR-DQN,0.948663195
60%,LTR-DQN,0.940587308
60%,LTR-DQN,0.935385099
60%,LTR-DQN,0.929020997
60%,LTR-DQN,0.926408239
60%,LTR-DQN,0.917736168
60%,LTR-DQN,0.916363777
60%,LTR-DQN,0.899404698
60%,LTR-DQN,0.897923933
60%,LTR-DQN,0.882456053
60%,LTR-DQN,0.880618366
60%,LTR-DQN,0.846770951
60%,LTR-DQN,0.846628423
60%,LTR-DQN,0.845363104
60%,LTR-DQN,0.844872863
60%,LTR-DQN,0.830502727
60%,LTR-DQN,0.830425631
60%,LTR-DQN,0.828424842
60%,LTR-DQN,0.824466448
60%,LTR-DQN,0.817153716
60%,LTR-DQN,0.795237107
60%,LTR-DQN,0.788318146
60%,LTR-DQN,0.763765624
60%,LTR-DQN,0.758010405
60%,LTR-DQN,0.756027088
60%,LTR-DQN,0.749619406
60%,LTR-DQN,0.748475546
60%,LTR-DQN,0.747701487
60%,LTR-DQN,0.745363298
60%,LTR-DQN,0.742735962
60%,LTR-DQN,0.707815406
60%,LTR-DQN,0.696165665
60%,LTR-DQN,0.6773885
60%,LTR-DQN,0.674984603
60%,LTR-DQN,0.670400376
60%,LTR-DQN,0.664251997
60%,LTR-DQN,0.661655257
60%,LTR-DQN,0.64660043
60%,LTR-DQN,0.631927813
60%,LTR-DQN,0.616292942
60%,LTR-DQN,0.614474331
60%,LTR-DQN,0.613427261
60%,LTR-DQN,0.612258951
60%,LTR-DQN,0.61009301
60%,LTR-DQN,0.606955752
60%,LTR-DQN,0.599753057
60%,LTR-DQN,0.59291783
60%,LTR-DQN,0.591196661
60%,LTR-DQN,0.55814635
60%,LTR-DQN,0.558088005
60%,LTR-DQN,0.546422399
60%,LTR-DQN,0.546030241
60%,LTR-DQN,0.533604579
60%,LTR-DQN,0.501272354
60%,LTR-DQN,0.49459895
60%,LTR-DQN,0.488117506
60%,LTR-DQN,0.482685399
60%,LTR-DQN,0.475969738
60%,LTR-DQN,0.475511539
60%,LTR-DQN,0.469348569
60%,LTR-DQN,0.464639582
60%,LTR-DQN,0.45283084
60%,LTR-DQN,0.450185855
60%,LTR-DQN,0.435824812
60%,LTR-DQN,0.420296909
60%,LTR-DQN,0.412534692
60%,LTR-DQN,0.396529586
60%,LTR-DQN,0.394282619
60%,LTR-DQN,0.39421942
60%,LTR-DQN,0.385238343
60%,LTR-DQN,0.383524667
60%,LTR-DQN,0.359027269
60%,LTR-DQN,0.340956728
60%,LTR-DQN,0.323526326
60%,LTR-DQN,0.311296216
60%,LTR-DQN,0.303659772
60%,LTR-DQN,0.288329107
60%,LTR-DQN,0.288033604
60%,LTR-DQN,0.235771263
60%,LTR-DQN,0.225046867
60%,LTR-DQN,0.218787997
60%,LTR-DQN,0.217982865
60%,LTR-DQN,0.214825562
60%,LTR-DQN,0.199955865
60%,LTR-DQN,0.183199609
60%,LTR-DQN,0.17344669
60%,LTR-DQN,0.172311201
60%,LTR-DQN,0.167170801
60%,LTR-DQN,0.150514451
60%,LTR-DQN,0.149306151
60%,LTR-DQN,0.148350436
60%,LTR-DQN,0.119979851
60%,LTR-DQN,0.111931561
60%,LTR-DQN,0.093576692
60%,LTR-DQN,0.084251749
60%,LTR-DQN,0.058707075
60%,LTR-DQN,0.055222435
60%,LTR-DQN,0.045571522
60%,LTR-DQN,0.040102404
60%,LTR-DQN,0.035914004
60%,LTR-DQN,0.031060463
60%,LTR-DQN,0.025182999
60%,LTR-DQN,0.021496471
60%,LTR-DQN,0.018027446
60%,LTR-DQN,0.004307096
60%,LTR-DQN,0.000751254
60%,LTR-DQN,-0.002211962
60%,LTR-DQN,-0.021628598
60%,LTR-DQN,-0.024026256
60%,LTR-DQN,-0.024512912
60%,LTR-DQN,-0.026431554
60%,LTR-DQN,-0.028892589
60%,LTR-DQN,-0.032186429
60%,LTR-DQN,-0.040166982
60%,LTR-DQN,-0.048415308
60%,LTR-DQN,-0.054653302
60%,LTR-DQN,-0.061470821
60%,LTR-DQN,-0.100421732
60%,LTR-DQN,-0.128333709
60%,LTR-DQN,-0.138241681
60%,LTR-DQN,-0.142581621
60%,LTR-DQN,-0.148283093
60%,LTR-DQN,-0.163906249
60%,LTR-DQN,-0.193061028
60%,LTR-DQN,-0.205094281
60%,LTR-DQN,-0.228532889
60%,LTR-DQN,-0.258829625
60%,LTR-DQN,-0.265226042
60%,LTR-DQN,-0.2813381
60%,LTR-DQN,-0.363949236
60%,LTR-DQN,-0.366284005
60%,LTR-DQN,-0.443008799
60%,LTR-DQN,-0.538500785
70%,LTR-DQN,7.419060621
70%,LTR-DQN,7.16615241
70%,LTR-DQN,6.401921074
70%,LTR-DQN,6.305732278
70%,LTR-DQN,6.22287649
70%,LTR-DQN,6.21002837
70%,LTR-DQN,5.945664886
70%,LTR-DQN,5.818286014
70%,LTR-DQN,5.667563846
70%,LTR-DQN,5.58443805
70%,LTR-DQN,5.546801518
70%,LTR-DQN,5.434557828
70%,LTR-DQN,5.354912494
70%,LTR-DQN,5.317109396
70%,LTR-DQN,5.29190833
70%,LTR-DQN,4.974154387
70%,LTR-DQN,4.826393605
70%,LTR-DQN,4.781865829
70%,LTR-DQN,4.762212808
70%,LTR-DQN,4.689376088
70%,LTR-DQN,4.350685227
70%,LTR-DQN,4.200266936
70%,LTR-DQN,4.162154177
70%,LTR-DQN,4.126475613
70%,LTR-DQN,4.088327864
70%,LTR-DQN,3.88868059
70%,LTR-DQN,3.820609773
70%,LTR-DQN,3.661253783
70%,LTR-DQN,3.658983902
70%,LTR-DQN,3.622986417
70%,LTR-DQN,3.559785371
70%,LTR-DQN,3.550767278
70%,LTR-DQN,3.51788697
70%,LTR-DQN,3.499935756
70%,LTR-DQN,3.494524201
70%,LTR-DQN,3.38319398
70%,LTR-DQN,3.343572369
70%,LTR-DQN,3.341614163
70%,LTR-DQN,3.329857677
70%,LTR-DQN,3.302892848
70%,LTR-DQN,3.277736094
70%,LTR-DQN,3.243969217
70%,LTR-DQN,3.226745185
70%,LTR-DQN,3.203639352
70%,LTR-DQN,3.179846181
70%,LTR-DQN,3.178182703
70%,LTR-DQN,3.177615105
70%,LTR-DQN,3.134800687
70%,LTR-DQN,3.121509295
70%,LTR-DQN,3.118062953
70%,LTR-DQN,3.107142551
70%,LTR-DQN,3.089750935
70%,LTR-DQN,3.052307812
70%,LTR-DQN,2.93757694
70%,LTR-DQN,2.911859741
70%,LTR-DQN,2.873120076
70%,LTR-DQN,2.797115055
70%,LTR-DQN,2.777573143
70%,LTR-DQN,2.757632426
70%,LTR-DQN,2.73573775
70%,LTR-DQN,2.726901019
70%,LTR-DQN,2.689208274
70%,LTR-DQN,2.679641684
70%,LTR-DQN,2.677181747
70%,LTR-DQN,2.638847103
70%,LTR-DQN,2.629415146
70%,LTR-DQN,2.624066834
70%,LTR-DQN,2.608137081
70%,LTR-DQN,2.59981493
70%,LTR-DQN,2.591951548
70%,LTR-DQN,2.581488004
70%,LTR-DQN,2.568384479
70%,LTR-DQN,2.552059056
70%,LTR-DQN,2.54862124
70%,LTR-DQN,2.520313995
70%,LTR-DQN,2.476378068
70%,LTR-DQN,2.475318952
70%,LTR-DQN,2.468407233
70%,LTR-DQN,2.440925953
70%,LTR-DQN,2.434839273
70%,LTR-DQN,2.417933634
70%,LTR-DQN,2.417001553
70%,LTR-DQN,2.300495284
70%,LTR-DQN,2.271226923
70%,LTR-DQN,2.27122008
70%,LTR-DQN,2.264010089
70%,LTR-DQN,2.214368869
70%,LTR-DQN,2.196735058
70%,LTR-DQN,2.179197183
70%,LTR-DQN,2.160605217
70%,LTR-DQN,2.158515483
70%,LTR-DQN,2.157099148
70%,LTR-DQN,2.091618662
70%,LTR-DQN,2.049406954
70%,LTR-DQN,2.043101588
70%,LTR-DQN,2.022718771
70%,LTR-DQN,2.020753491
70%,LTR-DQN,1.990520168
70%,LTR-DQN,1.958712445
70%,LTR-DQN,1.903285152
70%,LTR-DQN,1.876983665
70%,LTR-DQN,1.858562669
70%,LTR-DQN,1.856172933
70%,LTR-DQN,1.855660959
70%,LTR-DQN,1.832118996
70%,LTR-DQN,1.82751758
70%,LTR-DQN,1.816574849
70%,LTR-DQN,1.80416491
70%,LTR-DQN,1.785924824
70%,LTR-DQN,1.753574442
70%,LTR-DQN,1.752718587
70%,LTR-DQN,1.741377993
70%,LTR-DQN,1.736580909
70%,LTR-DQN,1.736154309
70%,LTR-DQN,1.728695814
70%,LTR-DQN,1.724770743
70%,LTR-DQN,1.70602127
70%,LTR-DQN,1.703873282
70%,LTR-DQN,1.695873398
70%,LTR-DQN,1.692740673
70%,LTR-DQN,1.675010296
70%,LTR-DQN,1.674985114
70%,LTR-DQN,1.636571838
70%,LTR-DQN,1.632859311
70%,LTR-DQN,1.596478293
70%,LTR-DQN,1.592317706
70%,LTR-DQN,1.591769509
70%,LTR-DQN,1.588444966
70%,LTR-DQN,1.573502996
70%,LTR-DQN,1.56055844
70%,LTR-DQN,1.55752662
70%,LTR-DQN,1.546815415
70%,LTR-DQN,1.526592933
70%,LTR-DQN,1.520595077
70%,LTR-DQN,1.506128417
70%,LTR-DQN,1.498566519
70%,LTR-DQN,1.49248916
70%,LTR-DQN,1.480503277
70%,LTR-DQN,1.477587891
70%,LTR-DQN,1.449615541
70%,LTR-DQN,1.444972867
70%,LTR-DQN,1.422050169
70%,LTR-DQN,1.421487853
70%,LTR-DQN,1.409838296
70%,LTR-DQN,1.404117867
70%,LTR-DQN,1.400234066
70%,LTR-DQN,1.399902173
70%,LTR-DQN,1.399714079
70%,LTR-DQN,1.395987865
70%,LTR-DQN,1.387434974
70%,LTR-DQN,1.386966941
70%,LTR-DQN,1.380350139
70%,LTR-DQN,1.363965324
70%,LTR-DQN,1.360519
70%,LTR-DQN,1.339089402
70%,LTR-DQN,1.326776371
70%,LTR-DQN,1.324558561
70%,LTR-DQN,1.320423836
70%,LTR-DQN,1.318254337
70%,LTR-DQN,1.316365013
70%,LTR-DQN,1.301714416
70%,LTR-DQN,1.292438786
70%,LTR-DQN,1.290410309
70%,LTR-DQN,1.270947943
70%,LTR-DQN,1.270643081
70%,LTR-DQN,1.269392364
70%,LTR-DQN,1.264074144
70%,LTR-DQN,1.253642929
70%,LTR-DQN,1.236669224
70%,LTR-DQN,1.225682621
70%,LTR-DQN,1.216012184
70%,LTR-DQN,1.210320404
70%,LTR-DQN,1.209383459
70%,LTR-DQN,1.188519059
70%,LTR-DQN,1.166896821
70%,LTR-DQN,1.161485898
70%,LTR-DQN,1.143751096
70%,LTR-DQN,1.137560447
70%,LTR-DQN,1.133535239
70%,LTR-DQN,1.121716606
70%,LTR-DQN,1.104837829
70%,LTR-DQN,1.094829005
70%,LTR-DQN,1.085564078
70%,LTR-DQN,1.081268762
70%,LTR-DQN,1.057864748
70%,LTR-DQN,1.040086432
70%,LTR-DQN,1.028924143
70%,LTR-DQN,1.022790572
70%,LTR-DQN,1.010184352
70%,LTR-DQN,1.005922962
70%,LTR-DQN,1.004923855
70%,LTR-DQN,1.002031981
70%,LTR-DQN,0.990465955
70%,LTR-DQN,0.982892544
70%,LTR-DQN,0.980482625
70%,LTR-DQN,0.956178894
70%,LTR-DQN,0.923178919
70%,LTR-DQN,0.916219117
70%,LTR-DQN,0.893306013
70%,LTR-DQN,0.8592148
70%,LTR-DQN,0.844802227
70%,LTR-DQN,0.839825464
70%,LTR-DQN,0.836142519
70%,LTR-DQN,0.828464467
70%,LTR-DQN,0.825595256
70%,LTR-DQN,0.815301419
70%,LTR-DQN,0.803123647
70%,LTR-DQN,0.80137464
70%,LTR-DQN,0.794512181
70%,LTR-DQN,0.790928997
70%,LTR-DQN,0.762173492
70%,LTR-DQN,0.75884379
70%,LTR-DQN,0.758231458
70%,LTR-DQN,0.757831687
70%,LTR-DQN,0.756643733
70%,LTR-DQN,0.755798775
70%,LTR-DQN,0.754691877
70%,LTR-DQN,0.750823977
70%,LTR-DQN,0.717096427
70%,LTR-DQN,0.714107484
70%,LTR-DQN,0.711671945
70%,LTR-DQN,0.708588665
70%,LTR-DQN,0.687690745
70%,LTR-DQN,0.671421814
70%,LTR-DQN,0.662396599
70%,LTR-DQN,0.64977683
70%,LTR-DQN,0.636103013
70%,LTR-DQN,0.604734761
70%,LTR-DQN,0.603413678
70%,LTR-DQN,0.573285206
70%,LTR-DQN,0.572992705
70%,LTR-DQN,0.561507918
70%,LTR-DQN,0.560020849
70%,LTR-DQN,0.555397753
70%,LTR-DQN,0.546145048
70%,LTR-DQN,0.543551244
70%,LTR-DQN,0.538207475
70%,LTR-DQN,0.535757457
70%,LTR-DQN,0.535592617
70%,LTR-DQN,0.523376666
70%,LTR-DQN,0.519702943
70%,LTR-DQN,0.507981732
70%,LTR-DQN,0.505212008
70%,LTR-DQN,0.49800401
70%,LTR-DQN,0.496423909
70%,LTR-DQN,0.479186352
70%,LTR-DQN,0.475515955
70%,LTR-DQN,0.456842751
70%,LTR-DQN,0.455423457
70%,LTR-DQN,0.455025178
70%,LTR-DQN,0.442640588
70%,LTR-DQN,0.436234936
70%,LTR-DQN,0.435104425
70%,LTR-DQN,0.429211054
70%,LTR-DQN,0.418830546
70%,LTR-DQN,0.404827976
70%,LTR-DQN,0.403883526
70%,LTR-DQN,0.394076144
70%,LTR-DQN,0.354588921
70%,LTR-DQN,0.354159542
70%,LTR-DQN,0.338971795
70%,LTR-DQN,0.338313058
70%,LTR-DQN,0.325635125
70%,LTR-DQN,0.322915136
70%,LTR-DQN,0.318649925
70%,LTR-DQN,0.309974902
70%,LTR-DQN,0.309294317
70%,LTR-DQN,0.30560594
70%,LTR-DQN,0.302542524
70%,LTR-DQN,0.30128961
70%,LTR-DQN,0.289052475
70%,LTR-DQN,0.27743605
70%,LTR-DQN,0.259754196
70%,LTR-DQN,0.245833743
70%,LTR-DQN,0.223324972
70%,LTR-DQN,0.215156795
70%,LTR-DQN,0.206391272
70%,LTR-DQN,0.17342587
70%,LTR-DQN,0.119479101
70%,LTR-DQN,0.118762361
70%,LTR-DQN,0.116293808
70%,LTR-DQN,0.08487546
70%,LTR-DQN,0.024852484
70%,LTR-DQN,0.000632024
70%,LTR-DQN,-0.00371754
70%,LTR-DQN,-0.006306186
70%,LTR-DQN,-0.040148441
70%,LTR-DQN,-0.145167733
70%,LTR-DQN,-0.185165388
70%,LTR-DQN,-0.210470262
70%,LTR-DQN,-0.213648739
70%,LTR-DQN,-0.227445437
70%,LTR-DQN,-0.246031461
70%,LTR-DQN,-0.250840047
70%,LTR-DQN,-0.254314759
70%,LTR-DQN,-0.273575675
70%,LTR-DQN,-0.291451165
70%,LTR-DQN,-0.428717615
70%,LTR-DQN,-0.500223539
80%,LTR-DQN,7.88574678
80%,LTR-DQN,6.272674085
80%,LTR-DQN,6.223755442
80%,LTR-DQN,6.136809657
80%,LTR-DQN,5.142921583
80%,LTR-DQN,5.069922559
80%,LTR-DQN,4.875642227
80%,LTR-DQN,4.740909333
80%,LTR-DQN,4.689092017
80%,LTR-DQN,4.671180351
80%,LTR-DQN,4.576569937
80%,LTR-DQN,4.544457274
80%,LTR-DQN,4.532156804
80%,LTR-DQN,4.527889077
80%,LTR-DQN,4.290422596
80%,LTR-DQN,4.203345951
80%,LTR-DQN,4.146236686
80%,LTR-DQN,4.032531024
80%,LTR-DQN,3.977475652
80%,LTR-DQN,3.904921605
80%,LTR-DQN,3.903515292
80%,LTR-DQN,3.857653321
80%,LTR-DQN,3.766155178
80%,LTR-DQN,3.76416354
80%,LTR-DQN,3.565983567
80%,LTR-DQN,3.546208689
80%,LTR-DQN,3.53260951
80%,LTR-DQN,3.512303634
80%,LTR-DQN,3.442517521
80%,LTR-DQN,3.415460806
80%,LTR-DQN,3.379221767
80%,LTR-DQN,3.359406689
80%,LTR-DQN,3.359295058
80%,LTR-DQN,3.306839606
80%,LTR-DQN,3.297296791
80%,LTR-DQN,3.278903296
80%,LTR-DQN,3.26181531
80%,LTR-DQN,3.235491095
80%,LTR-DQN,3.233723256
80%,LTR-DQN,3.20399167
80%,LTR-DQN,3.180968338
80%,LTR-DQN,3.17801205
80%,LTR-DQN,3.105490993
80%,LTR-DQN,3.093174618
80%,LTR-DQN,3.059124993
80%,LTR-DQN,3.03865399
80%,LTR-DQN,3.03232401
80%,LTR-DQN,2.996282036
80%,LTR-DQN,2.975960971
80%,LTR-DQN,2.958849236
80%,LTR-DQN,2.95588147
80%,LTR-DQN,2.94193831
80%,LTR-DQN,2.918825781
80%,LTR-DQN,2.896525007
80%,LTR-DQN,2.879870311
80%,LTR-DQN,2.825792749
80%,LTR-DQN,2.809038592
80%,LTR-DQN,2.784343246
80%,LTR-DQN,2.762577536
80%,LTR-DQN,2.746192085
80%,LTR-DQN,2.704031026
80%,LTR-DQN,2.693879669
80%,LTR-DQN,2.692507536
80%,LTR-DQN,2.692019547
80%,LTR-DQN,2.66856175
80%,LTR-DQN,2.659214384
80%,LTR-DQN,2.658492521
80%,LTR-DQN,2.657505768
80%,LTR-DQN,2.654504075
80%,LTR-DQN,2.637266923
80%,LTR-DQN,2.624702133
80%,LTR-DQN,2.620386305
80%,LTR-DQN,2.575917724
80%,LTR-DQN,2.554086296
80%,LTR-DQN,2.529372897
80%,LTR-DQN,2.511235657
80%,LTR-DQN,2.478349869
80%,LTR-DQN,2.473459827
80%,LTR-DQN,2.453117438
80%,LTR-DQN,2.412837518
80%,LTR-DQN,2.397224059
80%,LTR-DQN,2.377758689
80%,LTR-DQN,2.280229605
80%,LTR-DQN,2.273657653
80%,LTR-DQN,2.256444417
80%,LTR-DQN,2.250789652
80%,LTR-DQN,2.248970577
80%,LTR-DQN,2.235917235
80%,LTR-DQN,2.225190229
80%,LTR-DQN,2.214182563
80%,LTR-DQN,2.212021127
80%,LTR-DQN,2.190888148
80%,LTR-DQN,2.174369432
80%,LTR-DQN,2.152288067
80%,LTR-DQN,2.14812161
80%,LTR-DQN,2.148073182
80%,LTR-DQN,2.14719654
80%,LTR-DQN,2.13029084
80%,LTR-DQN,2.119337801
80%,LTR-DQN,2.100893472
80%,LTR-DQN,2.100086765
80%,LTR-DQN,2.09638204
80%,LTR-DQN,2.096281597
80%,LTR-DQN,2.057314977
80%,LTR-DQN,2.056296774
80%,LTR-DQN,2.043532762
80%,LTR-DQN,2.032255376
80%,LTR-DQN,2.028480359
80%,LTR-DQN,2.004629585
80%,LTR-DQN,2.00137142
80%,LTR-DQN,1.985095168
80%,LTR-DQN,1.983457651
80%,LTR-DQN,1.974441417
80%,LTR-DQN,1.965438391
80%,LTR-DQN,1.959561713
80%,LTR-DQN,1.95340962
80%,LTR-DQN,1.940764133
80%,LTR-DQN,1.936223018
80%,LTR-DQN,1.935857665
80%,LTR-DQN,1.922597924
80%,LTR-DQN,1.916365643
80%,LTR-DQN,1.893040555
80%,LTR-DQN,1.891422123
80%,LTR-DQN,1.886093383
80%,LTR-DQN,1.872905612
80%,LTR-DQN,1.872027896
80%,LTR-DQN,1.87162453
80%,LTR-DQN,1.868417563
80%,LTR-DQN,1.866031369
80%,LTR-DQN,1.85853817
80%,LTR-DQN,1.85008292
80%,LTR-DQN,1.832428192
80%,LTR-DQN,1.831282712
80%,LTR-DQN,1.830936593
80%,LTR-DQN,1.811924559
80%,LTR-DQN,1.79716918
80%,LTR-DQN,1.791115052
80%,LTR-DQN,1.78672495
80%,LTR-DQN,1.775673905
80%,LTR-DQN,1.772545649
80%,LTR-DQN,1.763481134
80%,LTR-DQN,1.7562469
80%,LTR-DQN,1.733161346
80%,LTR-DQN,1.722235833
80%,LTR-DQN,1.711865678
80%,LTR-DQN,1.709504872
80%,LTR-DQN,1.672865793
80%,LTR-DQN,1.652325788
80%,LTR-DQN,1.646078507
80%,LTR-DQN,1.64175047
80%,LTR-DQN,1.626634175
80%,LTR-DQN,1.622813305
80%,LTR-DQN,1.620956542
80%,LTR-DQN,1.618155006
80%,LTR-DQN,1.617710158
80%,LTR-DQN,1.595360116
80%,LTR-DQN,1.575032842
80%,LTR-DQN,1.573068784
80%,LTR-DQN,1.562747224
80%,LTR-DQN,1.559930868
80%,LTR-DQN,1.559435433
80%,LTR-DQN,1.535726516
80%,LTR-DQN,1.534420939
80%,LTR-DQN,1.530026671
80%,LTR-DQN,1.529528767
80%,LTR-DQN,1.524392861
80%,LTR-DQN,1.499741441
80%,LTR-DQN,1.496797586
80%,LTR-DQN,1.481724931
80%,LTR-DQN,1.476815877
80%,LTR-DQN,1.451846204
80%,LTR-DQN,1.451411409
80%,LTR-DQN,1.450842208
80%,LTR-DQN,1.435886533
80%,LTR-DQN,1.432730803
80%,LTR-DQN,1.42051442
80%,LTR-DQN,1.411428583
80%,LTR-DQN,1.408410684
80%,LTR-DQN,1.402686008
80%,LTR-DQN,1.38543234
80%,LTR-DQN,1.383924997
80%,LTR-DQN,1.380638203
80%,LTR-DQN,1.379057118
80%,LTR-DQN,1.3780207
80%,LTR-DQN,1.37708332
80%,LTR-DQN,1.376077551
80%,LTR-DQN,1.366550553
80%,LTR-DQN,1.364360349
80%,LTR-DQN,1.349234565
80%,LTR-DQN,1.331465124
80%,LTR-DQN,1.328879718
80%,LTR-DQN,1.328422174
80%,LTR-DQN,1.311723667
80%,LTR-DQN,1.298710978
80%,LTR-DQN,1.287535746
80%,LTR-DQN,1.282666139
80%,LTR-DQN,1.281774968
80%,LTR-DQN,1.279307532
80%,LTR-DQN,1.26785009
80%,LTR-DQN,1.262603456
80%,LTR-DQN,1.236574802
80%,LTR-DQN,1.228176266
80%,LTR-DQN,1.226223675
80%,LTR-DQN,1.215440865
80%,LTR-DQN,1.184453959
80%,LTR-DQN,1.155039628
80%,LTR-DQN,1.142499115
80%,LTR-DQN,1.141886275
80%,LTR-DQN,1.109761204
80%,LTR-DQN,1.107120373
80%,LTR-DQN,1.095104027
80%,LTR-DQN,1.042504424
80%,LTR-DQN,1.020416155
80%,LTR-DQN,1.019987803
80%,LTR-DQN,1.013393584
80%,LTR-DQN,1.00735918
80%,LTR-DQN,1.004662303
80%,LTR-DQN,1.002680774
80%,LTR-DQN,1.002513129
80%,LTR-DQN,0.99979957
80%,LTR-DQN,0.998863446
80%,LTR-DQN,0.98491421
80%,LTR-DQN,0.968906156
80%,LTR-DQN,0.968503861
80%,LTR-DQN,0.962070635
80%,LTR-DQN,0.941283427
80%,LTR-DQN,0.93384396
80%,LTR-DQN,0.922563862
80%,LTR-DQN,0.918396208
80%,LTR-DQN,0.917865819
80%,LTR-DQN,0.907581627
80%,LTR-DQN,0.86801889
80%,LTR-DQN,0.859799953
80%,LTR-DQN,0.830700852
80%,LTR-DQN,0.816203223
80%,LTR-DQN,0.812180512
80%,LTR-DQN,0.793875787
80%,LTR-DQN,0.765504616
80%,LTR-DQN,0.75723846
80%,LTR-DQN,0.755107013
80%,LTR-DQN,0.727505773
80%,LTR-DQN,0.721368311
80%,LTR-DQN,0.692678666
80%,LTR-DQN,0.681035698
80%,LTR-DQN,0.667614017
80%,LTR-DQN,0.667310959
80%,LTR-DQN,0.665194376
80%,LTR-DQN,0.656687302
80%,LTR-DQN,0.653459447
80%,LTR-DQN,0.645088742
80%,LTR-DQN,0.634438735
80%,LTR-DQN,0.632516825
80%,LTR-DQN,0.624323565
80%,LTR-DQN,0.621557609
80%,LTR-DQN,0.618886307
80%,LTR-DQN,0.617648439
80%,LTR-DQN,0.596295211
80%,LTR-DQN,0.593827985
80%,LTR-DQN,0.588493308
80%,LTR-DQN,0.582353501
80%,LTR-DQN,0.560661496
80%,LTR-DQN,0.517402024
80%,LTR-DQN,0.499303766
80%,LTR-DQN,0.49469796
80%,LTR-DQN,0.474088518
80%,LTR-DQN,0.467262551
80%,LTR-DQN,0.462916075
80%,LTR-DQN,0.45498355
80%,LTR-DQN,0.441629735
80%,LTR-DQN,0.413101333
80%,LTR-DQN,0.385649713
80%,LTR-DQN,0.38344856
80%,LTR-DQN,0.375468
80%,LTR-DQN,0.361728456
80%,LTR-DQN,0.353626949
80%,LTR-DQN,0.345676706
80%,LTR-DQN,0.334745803
80%,LTR-DQN,0.308837721
80%,LTR-DQN,0.305219578
80%,LTR-DQN,0.301173841
80%,LTR-DQN,0.300564788
80%,LTR-DQN,0.286442746
80%,LTR-DQN,0.271911762
80%,LTR-DQN,0.260691943
80%,LTR-DQN,0.213114838
80%,LTR-DQN,0.208658118
80%,LTR-DQN,0.189081175
80%,LTR-DQN,0.187559807
80%,LTR-DQN,0.179426762
80%,LTR-DQN,0.172781529
80%,LTR-DQN,0.065504209
80%,LTR-DQN,0.022174719
80%,LTR-DQN,0.018158313
80%,LTR-DQN,0.008930842
80%,LTR-DQN,-0.000107719
