qid_date,total_profit,day_return
20211207,1005209.3727000001,0.005209372700000065
20211208,1002142.2282,-0.003051249404650575
20211209,1014682.5773,0.012513542236938131
20211210,1028731.3368,0.013845472282950614
20211213,1028731.3368,0.0
20211214,1027086.4600000001,-0.0015989371968745192
20211215,1027086.4600000001,0.0
20211216,1027086.4600000001,0.0
20211217,1005762.5372,-0.020761565486901713
20211220,1070108.154,0.06397694726146345
20211221,1083680.0154000001,0.012682700668403702
20211222,1126421.1954,0.039440775314310485
20211223,1237224.2284000001,0.0983673189500426
20211224,1250335.5220000003,0.010597346300723483
20211227,1250335.5220000003,0.0
20211228,1372593.1597000004,0.09777986432348999
20211229,1372593.1597000004,0.0
20211230,1372593.1597000004,0.0
20211231,1371362.2003000004,-0.0008968130077736175
20220104,1353076.2589000005,-0.01333414425160592
20220105,1361835.4492000006,0.0064735377938868145
20220106,1361835.4492000006,0.0
20220107,1361835.4492000006,0.0
20220110,1361835.4492000006,0.0
20220111,1361835.4492000006,0.0
20220112,1350067.5021000006,-0.008641240104972284
20220113,1324810.6278000006,-0.018707860355658888
20220114,1454647.0158000004,0.09800373372276455
20220117,1402829.0118000004,-0.035622390474916714
20220118,1402829.0118000004,0.0
20220119,1402829.0118000004,0.0
20220120,1325704.0046000006,-0.054978195169373564
20220121,1339259.8242000006,0.01022537425621656
20220124,1326937.3059000007,-0.00920099153079625
20220125,1329423.4243000008,0.0018735763844651393
20220126,1329423.4243000008,0.0
20220127,1329423.4243000008,0.0
20220128,1352130.0579000008,0.017080061314517673
20220207,1373207.511100001,0.015588332702799013
20220208,1437793.007200001,0.04703258289656763
20220209,1437793.007200001,0.0
20220210,1437793.007200001,0.0
20220216,1442460.3373000012,0.0032461766586898548
20220217,1442460.3373000012,0.0
20220218,1437452.3431000013,-0.0034718418735684682
20220221,1452668.6119000013,0.010585581409387559
20220222,1504428.7001000014,0.0356310364084353
20220223,1504428.7001000014,0.0
20220224,1481829.8196000014,-0.015021569648663172
20220225,1481829.8196000014,0.0
20220228,1462425.5759000015,-0.01309478554375285
20220301,1457312.9881000014,-0.0034959644335088454
20220302,1436317.9244000013,-0.01440669497317303
20220303,1452863.7999000011,0.011519647021679843
20220304,1452863.7999000011,0.0
20220307,1430998.2343000013,-0.015049976192885277
20220308,1434337.5957000013,0.0023335887633946393
20220309,1444244.3853000014,0.006906874385569735
20220310,1444244.3853000014,0.0
20220311,1444244.3853000014,0.0
20220314,1386626.5468000015,-0.03989479833638498
20220315,1415994.3250000016,0.021179298974027132
20220316,1436326.3000000017,0.014358796953511851
20220317,1432945.8252000017,-0.002353556291491678
20220318,1432945.8252000017,0.0
20220321,1423364.8672000016,-0.006686196945835583
20220322,1458577.8304000017,0.024739238695184282
20220323,1503838.2549000017,0.03103051723169802
20220324,1469015.4445000016,-0.023155954629120425
20220325,1469015.4445000016,0.0
20220328,1473676.9585000018,0.00317322327512139
20220329,1512961.4114000017,0.02665743850673083
20220330,1468878.145800002,-0.029137072015080583
20220331,1468878.145800002,0.0
20220401,1468878.145800002,0.0
20220406,1417427.5128000015,-0.03502716215576792
20220407,1377871.5779000015,-0.02790684852861419
20220408,1377871.5779000015,0.0
20220411,1377871.5779000015,0.0
20220412,1372510.4288000017,-0.00389089171007553
20220413,1379915.5772000016,0.005395331244567824
20220414,1343679.7472000015,-0.026259454272939294
20220415,1343679.7472000015,0.0
20220418,1343679.7472000015,0.0
20220419,1343679.7472000015,0.0
20220420,1289020.1216000016,-0.040679057427114765
20220421,1292486.710100002,0.002689320703308639
20220422,1292486.710100002,0.0
20220425,1292486.710100002,0.0
20220426,1354595.476200002,0.048053698049393995
20220427,1354595.476200002,0.0
20220428,1354595.476200002,0.0
20220429,1370190.083100002,0.011512371902899752
20220505,1362174.344100002,-0.005850092697988852
20220506,1362174.344100002,0.0
20220509,1362174.344100002,0.0
20220510,1426109.045100002,0.046935769475413384
20220511,1402743.511800002,-0.0163841140902108
20220512,1419188.1156000022,0.011723172241872231
20220513,1410125.863800002,-0.006385518382225796
20220516,1411226.6653000019,0.0007806405997216382
20220517,1478662.864200002,0.04778551919274034
20220518,1474085.7108000019,-0.003095467878999283
20220519,1473826.0192000018,-0.00017617130272505168
20220520,1619117.8847000017,0.09858142250661635
20220523,1619117.8847000017,0.0
20220524,1619117.8847000017,0.0
20220525,1619117.8847000017,0.0
20220526,1609273.3009000018,-0.006080214351917902
20220527,1627851.1228000019,0.01154423048565478
20220530,1641642.420300002,0.008472087715416039
20220531,1707010.2777000016,0.039818572297890535
20220601,1707010.2777000016,0.0
20220602,1748482.5652000017,0.024295276977405897
20220606,1769799.0995000016,0.012191448015703623
20220607,1769799.0995000016,0.0
20220608,1653539.0335000018,-0.06569110925236957
20220609,1685362.5762000019,0.019245716040122783
20220610,1826494.6150000019,0.08373986748786799
20220613,1817899.1972000017,-0.004705963942850257
20220614,1805333.0549000017,-0.006912452747300183
20220615,1843770.3061000016,0.0212909474491004
20220616,1835147.6559000015,-0.004676640127825316
20220617,1867807.1304000018,0.017796646713957868
20220620,1826534.0821000019,-0.02209706110885284
20220621,1888424.027300002,0.0338838162432995
20220622,1894573.524300002,0.003256417473565137
20220623,1934039.556600002,0.02083109037142372
20220624,1971241.047300002,0.019235124004081564
20220627,1945543.317700002,-0.013036320258853172
20220628,1878638.591100002,-0.03438871085075306
20220629,1817486.123300002,-0.03255148067845944
20220630,1817486.123300002,0.0
20220701,1957428.7455000016,0.07699790408628067
20220704,1926371.9932000018,-0.015866095954397943
20220705,1919337.571500002,-0.0036516424267124905
20220706,1859169.852900002,-0.03134816902113666
20220707,1886696.851600002,0.014806069847282905
20220708,1911251.461700002,0.0130146027853794
20220711,1922295.126900002,0.005778237673747501
20220712,1997179.9547000017,0.038955947373576924
20220713,2044356.2333000018,0.0236214460739901
20220714,2208820.506300002,0.08044795242682419
20220715,2214751.5459000017,0.002685161416730451
20220718,2241893.929300002,0.012255272357861884
20220719,2265746.873900002,0.010639640122246004
20220720,2265746.873900002,0.0
20220721,2265746.873900002,0.0
20220722,2245944.581600002,-0.008739851979102334
20220725,2246473.786200002,0.000235626740007458
20220726,2311092.6247000014,0.028764563778553985
20220727,2311092.6247000014,0.0
20220728,2311092.6247000014,0.0
20220729,2538185.2651000014,0.09826202462546406
20220801,2636677.4062000015,0.03880415762169341
20220802,2669499.8681000015,0.012448417778686079
20220803,2669499.8681000015,0.0
20220804,2646577.8644000017,-0.008586628519414144
20220805,2666729.0868000016,0.007614067460874906
20220808,2694532.8868000014,0.01042618094864806
20220809,2694532.8868000014,0.0
20220810,2722605.4735000012,0.01041834999955728
20220811,2706331.600300001,-0.005977315978535682
20220812,2686046.577700001,-0.007495394355130453
20220815,2686046.577700001,0.0
20220816,2704400.6653000014,0.006833123353994992
20220817,2836108.7050000015,0.048701378235088404
20220818,2721967.1107000015,-0.040245846042068385
20220819,2721967.1107000015,0.0
20220822,2749312.0956000015,0.01004603795266571
20220823,2704919.384700001,-0.016146843048865343
20220824,2779912.3372000013,0.027724653431147446
20220825,2779912.3372000013,0.0
20220826,2779912.3372000013,0.0
20220829,2699222.9307000013,-0.029025881651100004
20220830,2622597.3668000014,-0.028388008648151306
20220831,2634213.249900001,0.0044291522774512
20220901,2634213.249900001,0.0
20220902,2634213.249900001,0.0
20220905,2671852.3081000014,0.014288538789116317
20220906,2610681.8652000017,-0.022894395290695913
