stock_code,年份,公司名称,评级日期,WindESG评级,ESG,管理实践得分,争议事件得分,E,S,治理得分,证监会行业,Wind行业
2322,2021,理工能科,2021/8/1,BB,5.71,2.77,2.94,0,4.96,6.57,软件和信息技术服务业,电气设备
2323,2021,雅博股份,2021/8/1,B,4,1.27,2.73,0.61,0.7,4.1,建筑装饰和其他建筑业,建筑与工程Ⅲ
2324,2021,普利特,2021/8/1,BB,5.75,2.76,2.98,1.28,4.61,5.75,橡胶和塑料制品业,化工
2325,2021,洪涛股份,2021/8/1,B,4.69,2.62,2.07,1.36,2.28,7.44,建筑装饰和其他建筑业,建筑与工程Ⅲ
2326,2021,永太科技,2021/8/1,BBB,6.06,3.21,2.84,1.97,5.43,6.2,化学原料和化学制品制造业,化工
2327,2021,富安娜,2021/8/1,BBB,6.46,3.69,2.77,0.76,5.62,7.23,纺织业,纺织品、服装与奢侈品
2328,2021,新朋股份,2021/8/1,BB,5.63,2.68,2.95,0,2.98,6.33,汽车制造业,汽车零配件
2329,2021,皇氏集团,2021/8/1,B,4.6,2.01,2.59,0,0.8,6.41,食品制造业,食品
2330,2021,得利斯,2021/8/1,BBB,6.06,3.09,2.97,1.57,4.8,6.18,农副食品加工业,食品
2331,2021,皖通科技,2021/5/5,BBB,6.76,3.88,2.87,6.94,6.69,3.55,软件和信息技术服务业,信息技术服务
2332,2021,仙琚制药,2021/8/1,BBB,6.36,3.45,2.9,3.2,5.38,5.67,医药制造业,制药
2333,2021,罗普斯金,2021/8/1,BBB,6.1,3.23,2.87,3.31,3.31,7.09,有色金属冶炼和压延加工业,建筑产品Ⅲ
2334,2021,英威腾,2021/8/1,BB,5.79,2.95,2.85,0,5.2,7.06,电气机械和器材制造业,电气设备
2335,2021,科华数据,2021/8/1,BBB,6.11,3.15,2.96,0.42,5.45,7.27,电气机械和器材制造业,电气设备
2336,2021,人人乐,2021/8/1,B,4.39,1.88,2.51,0,1.32,4.94,零售业,食品与主要用品零售Ⅲ
2337,2021,赛象科技,2021/8/1,BBB,6.67,3.77,2.9,1.42,6.35,6.58,专用设备制造业,机械
2338,2021,奥普光电,2021/8/1,A,7.31,4.3,3,2.08,6.67,6.75,仪器仪表制造业,航空航天与国防Ⅲ
2339,2021,积成电子,2021/8/1,BB,5.52,2.61,2.91,0,4.46,6.41,电气机械和器材制造业,电气设备
2340,2021,格林美,2021/4/22,A,7.1,4.3,2.8,4.6,7.21,6.13,废弃资源综合利用业,金属、非金属与采矿
2341,2021,新纶新材,2021/8/1,BB,4.88,2.18,2.7,0,4.23,4.94,化学原料和化学制品制造业,化工
2342,2021,巨力索具,2021/8/1,BBB,6.57,3.58,2.99,1.71,4.63,7.75,金属制品业,机械
2343,2021,慈文传媒,2021/8/1,BB,5.48,2.53,2.95,1.41,2.28,5.52,广播、电视、电影和影视录音制作业,媒体Ⅲ
2344,2021,海宁皮城,2021/8/1,BB,5.67,2.7,2.97,2.17,2.1,6.09,商务服务业,房地产管理和开发
2345,2021,潮宏基,2021/8/1,BB,5.44,2.45,2.99,0,4.24,4.63,其他制造业,纺织品、服装与奢侈品
2346,2021,柘中集团,2021/8/1,BB,5.6,2.67,2.93,1.99,2.62,6.77,电气机械和器材制造业,电气设备
2347,2021,泰尔股份,2021/8/1,BBB,6.57,3.58,2.99,1.77,6.22,5.8,通用设备制造业,机械
2348,2021,高乐股份,2021/8/1,B,4.92,1.95,2.97,2.8,2,3.74,文教、工美、体育和娱乐用品制造业,休闲设备与用品
2349,2021,精华制药,2021/8/1,BBB,6.79,3.88,2.91,4.2,5.53,6.45,医药制造业,制药
