report_id,date,qid_date,stock_code,page,advance_reaction,star_analyst,title_len,num_sentence,avg_sentence_len,sd_sentence_len,num_authors,analyst_coverage,ln_page,ln_title_len,ln_num_sentence,ln_avg_sentence_len,ln_sd_sentence_len,ln_num_authors,ln_analyst_coverage,rm_rf,smb,hml,rmw,cma,broker_size,listed,ln_broker_size,prior_performance_avg,prior_performance_sd,broker_status,real_return,up_down,ind_1,ind_2,ind_3,ind_4,ind_5,ind_6,close,pclose,volume,trade_date
123078,2016/12/1,20161201,300366,5,0,1,16,13,59.07692308,32.00110945,2,12,1.609437943,2.77258873,2.564949274,4.078840256,3.465770483,1.098612309,2.564949274,0.039711,-0.004804,0.020545,0.003166,0.019491,87,0,4.477336884,0.534763864,0.334330886,7.856706793,0.032326,1,0,1,0,0,0,0,44.07,42.69,10235662,20161202
123101,2016/12/1,20161201,300366,5,0,0,21,13,65.61538462,48.7482362,1,12,1.609437943,3.044522524,2.564949274,4.183810234,3.886668921,0.693147182,2.564949274,0.039711,-0.004804,0.020545,0.003166,0.019491,92,1,4.532599449,0.529720789,0.332658422,7.393263095,0.032326,1,0,1,0,0,0,0,44.07,42.69,10235662,20161202
101023,2016/12/1,20161201,300061,20,0,0,16,9,90.55555556,57.86787846,2,7,2.995732307,2.77258873,2.197224617,4.505963326,4.058162689,1.098612309,2.079441547,0.039711,-0.004804,0.020545,0.003166,0.019491,61,1,4.127134323,0.536517926,0.300083533,6.687108608,-0.005831,0,0,1,0,0,0,0,27.28,27.44,1177077,20161202
96566,2016/12/1,20161201,300015,3,0,0,25,7,82.71428571,50.20732526,1,29,1.098612309,3.218875885,1.945910096,4.415392399,3.916160822,0.693147182,3.401197433,0.039711,-0.004804,0.020545,0.003166,0.019491,30,0,3.433987141,0.552336459,0.283414196,4.189654742,-0.010775,0,0,1,0,0,0,0,33.05,33.41,2704074,20161202
102939,2016/12/1,20161201,300082,6,0,1,12,16,36.5625,22.8226005,1,5,1.791759491,2.484906673,2.77258873,3.599023104,3.12775135,0.693147182,1.791759491,0.039711,-0.004804,0.020545,0.003166,0.019491,78,1,4.369447708,0.475287212,0.310371216,6.761572769,-0.011364,0,0,0,0,0,1,0,8.7,8.8,18918694,20161202
126879,2016/12/1,20161201,300447,22,0,0,24,25,50.28,34.2257447,2,0,3.091042519,3.178053856,3.218875885,3.917607307,3.532978058,1.098612309,0,0.039711,-0.004804,0.020545,0.003166,0.019491,42,1,3.76120019,0.48830457,0.30762714,5.65248918,-0.013084,0,0,0,0,0,1,0,52.8,53.5,7512884,20161202
119910,2016/12/1,20161201,300316,3,0,0,14,12,56.16666667,30.25401718,2,15,1.098612309,2.639057398,2.484906673,4.02832365,3.409628868,1.098612309,2.77258873,0.039711,-0.004804,0.020545,0.003166,0.019491,3,0,1.386294365,0.504824189,0.250657717,1.098612289,-0.015962,0,0,0,0,0,1,0,12.33,12.53,7311071,20161202
109075,2016/12/1,20161201,300156,5,0,0,22,14,51.35714286,23.98096609,1,8,1.609437943,3.091042519,2.639057398,3.938803911,3.177260399,0.693147182,2.197224617,0.039711,-0.004804,0.020545,0.003166,0.019491,61,1,4.127134323,0.536517926,0.300083533,6.687108608,-0.019922,0,0,0,0,0,1,0,25.09,25.6,4770945,20161202
123716,2016/12/1,20161201,300379,17,0,0,18,24,54.75,27.74324242,2,14,2.833213329,2.890371799,3.178053856,4.002777576,3.322992325,1.098612309,2.708050251,0.039711,-0.004804,0.020545,0.003166,0.019491,95,0,4.564348221,0.516638907,0.318778296,7.423568444,-0.0374,0,0,1,0,0,0,0,80.56,83.69,5085572,20161202
119070,2016/12/2,20161202,300304,21,1,0,30,19,32.63157895,19.17841585,1,5,3.044522524,3.401197433,2.944438934,3.485280514,2.953785419,0.693147182,1.791759491,0.039711,-0.004804,0.020545,0.003166,0.019491,88,1,4.488636494,0.514783466,0.293343438,6.823286122,0.017417,1,0,0,0,0,1,0,54.91,53.97,19793061,20161205
103910,2016/12/2,20161202,300099,5,0,0,24,28,51.57142857,30.6261193,2,2,1.609437943,3.178053856,3.33220458,3.942967892,3.421853304,1.098612309,1.098612309,0.039711,-0.004804,0.020545,0.003166,0.019491,92,1,4.532599449,0.528816582,0.333661591,7.393263095,0.015054,1,0,0,0,0,1,0,9.44,9.3,7242945,20161205
123369,2016/12/2,20161202,300371,28,0,0,13,16,45.375,28.19103359,4,2,3.33220458,2.564949274,2.77258873,3.814961195,3.33900404,1.609437943,1.098612309,0.039711,-0.004804,0.020545,0.003166,0.019491,88,1,4.488636494,0.514783466,0.293343438,6.823286122,0.011616,1,0,0,0,0,1,0,38.32,37.88,2774468,20161205
104306,2016/12/2,20161202,300106,15,0,0,12,18,58.55555556,36.7094027,1,2,2.708050251,2.484906673,2.890371799,4.069975853,3.603032827,0.693147182,1.098612309,0.039711,-0.004804,0.020545,0.003166,0.019491,54,1,4.007333279,0.491079712,0.328346158,7.139660336,-0.001799,0,0,0,0,1,0,0,16.65,16.68,2345750,20161205
