,qid_date,stock_code,real_return,close,pclose,volume,prediction
10557,20181206,300137,0.033708,9.2,8.9,20697026,0.17623475
10558,20181206,300252,0.031111,9.28,9.0,10794971,0.5745184
10559,20181206,300483,0.018062,31.0,30.45,668541,0.1743305
10560,20181206,300483,0.018062,31.0,30.45,668541,0.47601163
10561,20181206,300662,0.013386,28.01,27.64,2791185,0.016081126
10562,20181206,300001,0.004113,17.09,17.02,6657160,-0.2386497
10563,20181206,300537,0.000989,10.12,10.11,2229773,-0.29641512
10564,20181206,300133,-0.00904,8.77,8.85,8758416,0.1842657
10565,20181206,300760,-0.010318,114.14,115.33,5067642,0.64477736
10566,20181206,300309,-0.011351,8.71,8.81,3122753,0.042740487
10567,20181206,300602,-0.021917,33.47,34.22,5078261,0.25803798
10568,20181207,300673,0.029276,44.65,43.38,1056694,0.14124718
10569,20181207,300395,0.014013,15.92,15.7,2252671,-0.2985909
10570,20181207,300454,0.003332,84.32,84.04,594589,0.042740487
10571,20181207,300454,0.003332,84.32,84.04,594589,0.62192816
10572,20181207,300474,0.000258,38.84,38.83,780368,0.03527134
10573,20181207,300087,0.0,9.69,9.69,843939,0.6138972
10574,20181207,300388,-0.029189,8.98,9.25,2818721,0.6138972
10575,20181207,300114,-0.0338,8.29,8.58,4898665,-0.06323537
10576,20181207,300261,0.0,5.39,5.39,5097988,-0.41909447
10577,20181207,300203,-0.013677,25.24,25.59,2383392,0.37545928
10578,20181210,300252,0.090625,10.47,9.6,25179617,0.3193165
10579,20181210,300347,0.052146,49.03,46.6,4874032,-0.06323537
10580,20181210,300070,0.013172,9.23,9.11,15270004,-0.1456752
10581,20181210,300059,0.00625,12.88,12.8,51701974,-0.39653584
10582,20181210,300595,0.000254,39.42,39.41,1768394,-0.40239102
10583,20181210,300261,-0.007421,5.35,5.39,4009409,-0.39653584
10584,20181210,300649,-0.0121,22.86,23.14,1135000,0.17623475
10585,20181211,300703,0.017845,14.83,14.57,2072176,-0.07184787
10586,20181211,300009,-0.002653,15.04,15.08,4501099,0.03309562
10587,20181211,300458,-0.004267,21.0,21.09,3869568,0.1842657
10588,20181211,300082,-0.008375,5.92,5.97,2645052,-0.055204418
10589,20181211,300578,-0.038608,15.19,15.8,4265285,0.02724042
10590,20181212,300146,0.031175,21.5,20.85,15973830,0.20493922
10591,20181212,300091,0.026596,3.86,3.76,26830014,0.13321623
10592,20181212,300308,0.022313,44.9,43.92,5251773,0.26919726
