qid_date,stock_code,Unnamed: 0,real_return,prediction,close,pclose,new_close
20201204,300268,38740,0.084879,0.65883255,15.21,14.02,15.21
20201204,300073,38741,0.056833,0.06514761,48.72,46.1,48.72
20201204,300785,38742,0.010254,-0.3548389,102.46,101.42,102.46
20201204,300999,38743,0.009863,-0.36448383,71.67,70.97,71.67
20201204,300638,38744,-0.008027,-0.37251472,58.08,58.55,58.08
20201204,300418,38745,-0.00876,-0.46081477,22.63,22.83,22.63
20201204,300296,38746,-0.024096,0.07483426,7.29,7.47,7.29
20201204,300911,38747,-0.056071,0.4790426,52.86,56.0,52.86
20201207,688777,38748,0.060189,0.06514761,115.55,108.99,115.55
20201207,688008,38749,0.015648,0.26164103,83.08,81.8,83.08
20201207,300034,38750,0.001039,0.5124966,28.9,28.87,28.9
20201207,688123,38751,-0.00075,-0.36448383,66.63,66.68,66.63
20201207,300348,38752,-0.003375,-0.25850797,20.67,20.74,20.67
20201207,300227,38753,-0.038088,0.6088276,11.87,12.34,11.87
20201208,300014,38754,0.043164,0.17919612,66.46,63.71,66.46
20201208,300901,38755,0.002811,0.5753736,28.54,28.46,28.54
20201208,300638,38756,0.00087,-0.36448383,57.5,57.45,57.5
20201208,300122,38757,-0.003731,0.3363979,138.86,139.38,138.86
20201208,688050,38758,-0.005805,-0.3548389,172.99,174.0,172.99
20201208,688567,38759,-0.017929,0.07483426,31.77,32.35,31.77
20201209,688396,38760,0.042052,0.30708027,69.88,67.06,69.88
20201209,688200,38761,0.004056,-0.023152443,321.8,320.5,321.8
20201209,688561,38762,0.002677,0.5205276,108.64,108.35,108.64
20201209,688066,38763,-0.001948,-0.3548389,40.99,41.07,40.99
20201209,300294,38764,-0.00448,0.6029724,37.78,37.95,37.78
20201210,300454,38765,0.033667,0.31511122,217.07,210.0,217.07
20201210,300440,38766,0.019759,0.6733185,9.29,9.11,9.29
20201210,300760,38767,0.011862,-0.46081477,355.7,351.53,355.7
20201210,300829,38768,0.010707,-0.37251472,102.89,101.8,102.89
20201210,300413,38769,0.001926,-0.22691303,67.64,67.51,67.64
20201210,300413,38770,0.001926,0.2107493,67.64,67.51,67.64
20201210,300316,38771,-0.017201,-0.36448383,29.14,29.65,29.14
20201210,688169,38772,-0.023793,0.14695084,929.33,951.98,929.33
20201210,300014,38773,-0.025295,0.26159918,64.35,66.02,64.35
20201211,300087,38774,0.0777,0.2107493,24.55,22.78,24.55
20201211,300101,38775,0.037823,0.15663749,15.64,15.07,15.64
20201211,300271,38776,0.017453,-0.37836993,25.65,25.21,25.65
20201211,300454,38777,0.01488,-0.023152443,220.3,217.07,220.3
20201211,300454,38778,0.01488,0.1732992,220.3,217.07,220.3
20201211,300686,38779,0.008337,0.2529685,20.56,20.39,20.56
20201211,300502,38780,0.007825,0.07483426,56.67,56.23,56.67
20201211,688357,38781,0.002468,0.15663749,65.0,64.84,65.0
20201211,300170,38782,-0.009923,0.23565619,8.98,9.07,8.98
20201211,300296,38783,0.005797,0.6029724,6.94,6.9,6.94
20201214,300034,38784,0.077958,0.15562338,31.25,28.99,31.25
20201214,300740,38785,0.061752,0.2107493,16.85,15.87,16.85
20201214,688111,38786,0.048019,0.050619867,362.3,345.7,362.3
20201214,300454,38787,0.026328,-0.06163856,226.1,220.3,226.1
20201214,688567,38788,0.010242,-0.05309162,32.55,32.22,32.55
20201214,300999,38789,0.005032,-0.46081477,75.89,75.51,75.89
20201214,300680,38790,-0.003132,0.13994625,31.83,31.93,31.83
20201214,300502,38791,-0.012529,0.17112345,55.96,56.67,55.96
20201214,300782,38792,-0.026023,0.06514761,582.0,597.55,582.0
20201214,300896,38793,-0.040381,0.5124966,605.99,631.49,605.99
20201215,300454,38794,-0.000442,-0.023152443,226.0,226.1,226.0
20201215,688017,38795,-0.005928,-0.05309162,127.44,128.2,127.44
20201215,300379,38796,-0.012541,-0.31224382,39.37,39.87,39.37
20201215,688111,38797,-0.022909,-0.274008,354.0,362.3,354.0
20201215,300378,38798,-0.02603,-0.06163856,29.56,30.35,29.56
20201215,300735,38799,-0.033862,0.082823396,13.41,13.88,13.41
20201215,300767,38800,-0.04119,0.24711333,73.79,76.96,73.79
20201215,300767,38801,-0.04119,-0.14408344,73.79,76.96,73.79
20201216,300788,38802,0.03653,-0.28004026,45.4,43.8,45.4
20201216,688339,38803,0.027475,-0.36286986,273.0,265.7,273.0
20201216,300464,38804,0.024543,0.27528203,19.62,19.15,19.62
20201216,688099,38805,0.00241,0.074792475,83.2,83.0,83.2
20201216,300687,38806,0.001208,-0.22691303,24.86,24.83,24.86
20201216,300772,38807,-0.014953,0.17116523,15.81,16.05,15.81
20201217,300999,38808,0.019711,0.15562338,83.29,81.68,83.29
20201217,300316,38809,0.011643,0.08286518,32.15,31.78,32.15
20201217,688288,38810,0.003715,-0.36286986,37.83,37.69,37.83
20201217,300740,38811,-0.015187,-0.1837093,16.86,17.12,16.86
20201217,300427,38812,-0.017009,0.16526824,24.85,25.28,24.85
20201217,688200,38813,-0.025397,-0.36448383,307.0,315.0,307.0
20201218,300346,38814,0.146871,0.67336035,41.23,35.95,41.23
20201218,300999,38815,0.083563,-0.36448383,90.25,83.29,90.25
20201218,688396,38816,0.02219,0.07483426,69.56,68.05,69.56
20201218,300843,38817,0.019802,0.71294427,31.93,31.31,31.93
20201218,300401,38818,0.008632,0.36575782,15.19,15.06,15.19
20201218,300596,38819,0.057069,-0.19059078,41.12,38.9,41.12
20201218,300223,38820,0.04804,0.074792475,97.3,92.84,97.3
20201218,689009,38821,0.012781,0.22112848,72.9,71.98,72.9
20201218,300079,38822,0.010417,-0.37251472,4.85,4.8,4.85
20201218,688369,38823,0.005723,-0.22691303,70.29,69.89,70.29
20201218,688189,38824,0.003248,0.2459221,55.6,55.42,55.6
